model,parameter_value,a,b,K0,n,n_over_n0,eps,mu_b,P,dP_dn,d2eps_dn2,vs2,quark_fraction,n_q,n_n,k_bu,k_f,label,target_k0,energy_per_baryon_minus_mn
clausius,4.735852815975205,472.32750755212857,1.7273710702693807,250.00000132258117,0.00016,0.001,0.14942880944321976,939.3043309729113,0.0010594344575779267,-0.20491643588497122,-441.0435451939996,-0.00021815766107745202,0.27627257788118487,4.420361246098958e-05,0.00011579638753901043,0.06223798223710615,0.12505539370856614,k0_250,250.0,-4.0699409798766055
clausius,4.735852815975205,472.32750755212857,1.7273710702693807,250.00000132258117,0.005914244604316546,0.036964028776978415,5.547113918357522,936.76645853271,-0.007087577947624644,-2.6267367055512096,-441.04354519401716,-0.0028040464959276606,0.0,0.0,0.005914244604316546,0.0,0.44557070873566224,k0_250,250.0,-0.07566824190394073
clausius,4.735852815975205,472.32750755212857,1.7273710702693807,250.00000132258117,0.011668489208633092,0.07292805755395683,10.930195488476352,934.2947223206528,-0.029170336572178608,-4.831697208569093,-418.0566085266044,-0.005171491493142396,0.0,0.0,0.011668489208633092,0.0,0.5607245063675741,k0_250,250.0,-1.2724345848049552
clausius,4.735852815975205,472.32750755212857,1.7273710702693807,250.00000132258117,0.01742273381294964,0.10889208633093525,16.299434647867606,931.9701168835791,-0.06269311313182468,-6.652287270577346,-389.9053732529095,-0.007137876150816909,0.0,0.0,0.01742273381294964,0.0,0.6430717740756434,k0_250,250.0,-2.473186420786078
clausius,4.735852815975205,472.32750755212857,1.7273710702693807,250.00000132258117,0.023176978417266184,0.14485611510791366,21.655763521399543,929.8144998042136,-0.10572811283834527,-8.141089286904112,-359.3214071827246,-0.008755605863985064,0.0,0.0,0.023176978417266184,0.0,0.7096826322473652,k0_250,250.0,-3.634737560672761
clausius,4.735852815975205,472.32750755212857,1.7273710702693807,250.00000132258117,0.02893122302158273,0.18082014388489207,27.000194784894973,927.8372821092536,-0.15638475133667912,-9.294453954228615,-327.8991859342876,-0.010017331846268908,0.0,0.0,0.02893122302158273,0.0,0.7667861292107844,k0_250,250.0,-4.745475476346428
clausius,4.735852815975205,472.32750755212857,1.7273710702693807,250.00000132258117,0.03468546762589928,0.2167841726618705,32.33376886992135,926.0405965665645,-0.2126932358707225,-10.105890955167064,-296.57393477430696,-0.010913010717495735,0.0,0.0,0.03468546762589928,0.0,0.817442276475334,k0_250,250.0,-5.80069340111595
clausius,4.735852815975205,472.32750755212857,1.7273710702693807,250.00000132258117,0.04043971223021583,0.2527482014388489,37.657522997237436,924.4223254351269,-0.2726882883378421,-10.583446779789767,-265.8877757426557,-0.011448713957452427,0.0,0.0,0.04043971223021583,0.0,0.863407943513509,k0_250,250.0,-6.7984429053278745
clausius,4.735852815975205,472.32750755212857,1.7273710702693807,250.00000132258117,0.04619395683453237,0.2887122302158273,42.97247322641101,922.9779206909914,-0.3344927189260756,-10.7462436516721,-236.14327905539054,-0.01164301269918448,0.0,0.0,0.04619395683453237,0.0,0.9057959734810777,k0_250,250.0,-7.7382044941673485
clausius,4.735852815975205,472.32750755212857,1.7273710702693807,250.00000132258117,0.051948201438848915,0.3246762589928057,48.279604437316316,921.7015198570483,-0.39636131743645225,-10.61826416028724,-207.49473834313366,-0.011520284963763632,0.0,0.0,0.051948201438848915,0.0,0.945361048977859,k0_250,250.0,-8.620289055649096
