label,target_k0,fit_K0,c,a_avg_fit,b_avg_fit,a_curve,b_curve,K0_curve,vs2_max,n_tr,n_tr_over_n0
k0_250,250.0,250.00000198605045,4.735852815975205,472.32750754938456,1.727371070253316,472.32750755212857,1.7273710702693807,250.00000132258117,1.1259061603180114,0.4604995683453237,2.878122302158273
k0_280,280.0,280.00000000183434,4.11410812010825,454.41269746338673,1.9364497235562024,454.4126974680453,1.9364497235832598,279.9999999698599,1.0539799554475027,0.40871136690647475,2.554446043165467
k0_315,315.0,314.9999987450691,3.5073713953624717,436.7148092841095,2.1436242133901695,436.714809276499,2.1436242133464485,315.00000015594054,0.9941913827633436,0.36843165467625894,2.3026978417266184
