model,parameter_value,a,b,K0,n,n_over_n0,eps,mu_b,P,dP_dn,d2eps_dn2,vs2,quark_fraction,n_q,n_n,k_bu,k_f,label,target_k0,energy_per_baryon_minus_mn
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.00016,0.001,0.14932509300689956,939.3846049370148,0.0009150776339971103,-0.03868457103726429,-420.37865332572426,-4.118075901388449e-05,0.2915293993067519,4.664470388908031e-05,0.00011335529611091971,0.063933214014679,0.1247161673489049,k0_280,280.0,-4.718168706877805
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.005914244604316546,0.036964028776978415,5.547814238983029,936.9656433393455,-0.006303991023573608,-2.4704436131053895,-420.3786533257142,-0.002636642688733739,0.0,0.0,0.005914244604316546,0.0,0.44575641471160793,k0_280,280.0,0.04274428114183593
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.011668489208633092,0.07292805755395683,10.93238408823772,934.5926939071188,-0.027515996027962807,-4.699189559075039,-404.38622734913395,-0.0050280615178252734,0.0,0.0,0.011668489208633092,0.0,0.5611906473194452,k0_280,280.0,-1.084869620546442
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.01742273381294964,0.10889208633093525,16.30356417128044,932.3299395240687,-0.06038456335351,-6.563130054050342,-382.0782136490568,-0.007039492968981193,0.0,0.0,0.01742273381294964,0.0,0.6438788686865047,k0_280,280.0,-2.2361671643842556
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.023176978417266184,0.14485611510791366,21.662093136136008,930.2054404526871,-0.1030477074298567,-8.113315832380124,-356.33289587801755,-0.008722068781313251,0.0,0.0,0.023176978417266184,0.0,0.7108808036528097,k0_280,280.0,-3.3616383402950305
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.02893122302158273,0.18082014388489207,27.008823444541978,928.2340243473169,-0.15375657105668866,-9.353408875177442,-328.8712415653964,-0.010076563269434392,0.0,0.0,0.02893122302158273,0.0,0.7684204719130533,k0_280,280.0,-4.447228159232736
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.03468546762589928,0.2167841726618705,32.344664388423176,926.4225637978453,-0.21069131253376933,-10.274238498338738,-300.73722106852,-0.011090229124191194,0.0,0.0,0.03468546762589928,0.0,0.8195551183409542,k0_280,280.0,-5.486569958429868
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.04043971223021583,0.2527482014388489,37.67054752264369,924.7730996093576,-0.27199753394174275,-10.87574949339445,-272.56624512450577,-0.01176045183190188,0.0,0.0,0.04043971223021583,0.0,0.8660400540911967,k0_280,280.0,-6.476370252285619
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.04619395683453237,0.2887122302158273,42.98740562571164,923.2847441027152,-0.3358547582142961,-11.167775514265738,-244.7407548336837,-0.012095700254550427,0.0,0.0,0.04619395683453237,0.0,0.9089873059626424,k0_280,280.0,-7.414950104981472
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.051948201438848915,0.3246762589928057,48.29616003664535,921.9548690374108,-0.4005217579321068,-11.165761235187567,-217.48327516538555,-0.012110962922561978,0.0,0.0,0.051948201438848915,0.0,0.9491512423441757,k0_280,280.0,-8.301594685671375
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.05770244604316546,0.36064028776978413,53.59771328687542,920.7828513052557,-0.46435580089562595,-10.927575265154086,-189.8743582852187,-0.011867700674120617,0.0,0.0,0.05770244604316546,0.0,0.9870701749995238,k0_280,280.0,-9.136200243910253
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.06345669064748201,0.39660431654676254,58.89297954438629,919.7437750229417,-0.5262816399476585,-10.428141159700452,-171.27688006658494,-0.011338093763603169,0.0,0.0,0.06345669064748201,0.0,1.0231435812439673,k0_280,280.0,-9.918517283674419
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.06921093525179856,0.43256834532374094,64.1825745964344,918.8466653967153,-0.5843679508981412,-9.63311137445982,-140.53107663845296,-0.0104839161279436,0.0,0.0,0.06921093525179856,0.0,1.057677351257852,k0_280,280.0,-10.652690460984331
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.0749651798561151,0.4685323741007194,69.4675164774929,918.1136464892882,-0.6371441982461901,-8.591678943404693,-114.24394869750162,-0.009357968892258409,0.0,0.0,0.0749651798561151,0.0,1.090911833096839,k0_280,280.0,-11.336226087553996
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.08071942446043165,0.5044964028776978,74.74867558935516,917.5269284985199,-0.6832451953023543,-7.31986110907826,-89.68133815227242,-0.007977816107323185,0.0,0.0,0.08071942446043165,0.0,1.1230400213299647,k0_280,280.0,-11.96917050620607
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.08647366906474818,0.5404604316546762,80.02686523274836,917.0782932227421,-0.7213847408287102,-5.829758604906738,-66.25060656904728,-0.006356882120086112,0.0,0.0,0.08647366906474818,0.0,1.1542198026887505,k0_280,280.0,-12.552218053482875
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.09222791366906474,0.5764244604316546,85.30286123038074,916.7619785113111,-0.7503369092958594,-4.130569448642455,-43.69074392255843,-0.00450560728461918,0.0,0.0,0.09222791366906474,0.0,1.1845824637807398,k0_280,280.0,-13.086296146009545
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.0979821582733813,0.6123884892086331,90.57741056933094,916.573434066079,-0.7689213547539215,-2.2291326816256665,-21.84155725660027,-0.0024320284646881444,0.0,0.0,0.0979821582733813,0.0,1.2142387626777154,k0_280,280.0,-13.57240863576692
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.10373640287769784,0.6483525179856114,95.85123670524999,916.508916381879,-0.7759908587069597,-0.13022415316110306,-0.5828228793264574,-0.00014208716449283615,0.0,0.0,0.10373640287769784,0.0,1.2432833638764271,k0_280,280.0,-14.011563479256438
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.10949064748201438,0.6843165467625899,101.12504354312779,916.565319377812,-0.7704200380152795,2.163300547810165,20.18678475883467,0.0023602251820728595,0.0,0.0,0.10949064748201438,0.0,1.2717981445492557,k0_280,280.0,-14.404735301805431
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.11524489208633093,0.7202805755395683,106.39951879231688,916.7400905717097,-0.7510945376974564,4.651792499901392,40.55835414841637,0.005074276283696046,0.0,0.0,0.11524489208633093,0.0,1.2998547043905246,k0_280,280.0,-14.752844606665121
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.12099913669064748,0.7562446043165467,111.67533698259363,917.0311839210983,-0.716884934229364,7.327769239136414,60.61681979887753,0.007990752514875108,0.0,0.0,0.12099913669064748,0.0,1.32751630215111,k0_280,280.0,-15.056745717876879
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.12675338129496402,0.7922086330935252,116.95316227645287,917.4370307284439,-0.6667629844855014,10.18725288797922,80.44315774886059,0.011104034987437289,0.0,0.0,0.12675338129496402,0.0,1.3548393720947824,k0_280,280.0,-15.317219614878354
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.13250762589928056,0.8281726618705034,122.2336511503323,917.9565207583576,-0.5996450443024389,13.249995426026596,100.11573942594968,0.014434229864264474,0.0,0.0,0.13250762589928056,0.0,1.3818747277960135,k0_280,280.0,-15.534969623239135
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.13826187050359712,0.864136690647482,127.51745498959481,918.5889900050186,-0.5142755551106365,16.532701143849,119.71128919445793,0.01799793087413194,0.0,0.0,0.13826187050359712,0.0,1.4086685299797326,k0_280,280.0,-15.710618805224158
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.14401611510791365,0.9001007194244603,132.80522262897424,919.3342134167609,-0.4093786315988967,20.041819652995777,139.30564977382616,0.021800363089402655,0.0,0.0,0.14401611510791365,0.0,1.4352630740916228,k0_280,280.0,-15.844708354609566
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.1497703597122302,0.9360647482014388,138.0976028638288,920.1924017596925,-0.28362448991276396,23.78794404020051,158.9744554159328,0.025851054621523286,0.0,0.0,0.1497703597122302,0.0,1.4616974386560213,k0_280,280.0,-15.937696556444962
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.15552460431654674,0.9720287769784172,143.39524695449182,921.1642036770521,-0.13561533431668119,27.783917816068907,178.79426460975253,0.03016174283060784,0.0,0.0,0.15552460431654674,0.0,1.4880080251241419,k0_280,280.0,-15.989958022123915
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.16127884892086328,1.0079928057553955,148.69881116122522,922.250719879013,0.03612642844701301,32.0446181235214,198.84564355407028,0.034746102586642846,0.0,0.0,0.16127884892086328,0.0,1.5142290124804882,k0_280,280.0,-16.001782898455986
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.16703309352517984,1.043956834532374,154.00895941187355,923.4535113900246,0.2331698075526334,36.58698230324114,219.20801725461638,0.039619733805731853,0.0,0.0,0.16703309352517984,0.0,1.5403927444664651,k0_280,280.0,-15.97337544576419
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.17278733812949637,1.0799208633093522,159.32636593173166,924.7745970010836,0.4571873194603137,41.43011717902495,239.9610664043675,0.04480023274144543,0.0,0.0,0.17278733812949637,0.0,1.5665300632990542,k0_280,280.0,-15.904853118787628
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.1785415827338129,1.1158848920863307,164.6517178818785,926.2164620165809,0.7099678640198454,46.595455111316205,261.18725614619547,0.05030730614511802,0.0,0.0,0.1785415827338129,0.0,1.5926706008019855,k0_280,280.0,-15.79624577789673
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.18429582733812946,1.1518489208633091,169.9857180897078,927.7820763022629,0.9934306117802439,52.106947906949195,282.9725400883462,0.05616291717406839,0.0,0.0,0.18429582733812946,0.0,1.6188430356461079,k0_280,280.0,-15.647494547810652
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.19005007194244602,1.1878129496402876,175.32908789496634,929.4749164975525,1.3096401117017784,57.991297761386626,305.40710370354697,0.06239146073990834,0.0,0.0,0.19005007194244602,0.0,1.6450753237182272,k0_280,280.0,-15.4584502758712
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.19580431654676259,1.223776978417266,180.68257013591506,931.2989927841583,1.660822836261792,64.2782276829437,328.5862045520401,0.0690199690765059,0.0,0.0,0.19580431654676259,0.0,1.6713949073644683,k0_280,280.0,-15.228871546537675
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.2015585611510791,1.2597410071942443,186.04693230343366,933.2588806012313,2.049385401340995,71.00079557562064,352.61105133202864,0.07607834980351856,0.0,0.0,0.2015585611510791,0.0,1.69782890828593,k0_280,280.0,-14.958422202759266
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.20731280575539565,1.2957050359712228,191.4229698921753,935.3597577145927,2.4779347259481845,78.19575745519415,377.5897857300209,0.08359965971409057,0.0,0.0,0.20731280575539565,0.0,1.724404308129444,k0_280,280.0,-14.64666832963735
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.2130670503597122,1.3316690647482012,196.81150998128174,937.6074472353156,2.94930043217499,85.90399143925264,403.6385683912139,0.09162042354991334,0.0,0.0,0.2130670503597122,0.0,1.7511481202627348,k0_280,280.0,-14.29307464944452
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.21882129496402875,1.3676330935251797,202.21341508061695,940.0084672219984,3.466559884405333,94.17102298253482,430.8827812502251,0.10018103694410105,2.0904206303164757e-06,4.574285493453724e-07,0.2188208375354794,0.006331560522074161,1.77808543254607,k0_280,280.0,-13.897000272034347
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.22457553956834528,1.403597122302158,207.62958728232982,942.5700876112452,4.033066633935428,103.04764181726789,459.4583722445247,0.10932623809272525,1.0091380118104546e-05,2.2662771350126004e-06,0.22457327329121027,0.014093040727854264,1.8052397276095302,k0_280,280.0,-13.457693738984744
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.23032978417266184,1.4395611510791364,213.06097276227132,945.3003953503631,4.652482558234449,112.59054438703616,489.5133614456977,0.11910557209203955,2.427342073847259e-05,5.590891759824606e-06,0.230324193280902,0.0221353824429676,1.8326384181968205,k0_280,280.0,-12.9742872916745
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.23608402877697837,1.4755251798561149,218.50856668113607,948.2083687813364,5.3288136990077595,122.86303830851718,521.2095503998754,0.1295738809671382,4.52202046201127e-05,1.0675768088835538e-05,0.23607335300888954,0.0305874615739977,1.8603092041447142,k0_280,280.0,-12.44579028446401
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.24183827338129493,1.5114892086330933,223.97341854192692,951.3039624447634,6.066450508747893,133.93588724508862,554.7244344387682,0.14079189463364133,7.34039243441099e-05,1.775187832279074e-05,0.24182052150297215,0.039442314048136966,1.888280656448914,k0_280,280.0,-11.871081651337022
