model,parameter_value,a,b,K0,n,n_over_n0,eps,mu_b,P,dP_dn,d2eps_dn2,vs2,quark_fraction,n_q,n_n,k_bu,k_f,label,target_k0,energy_per_baryon_minus_mn
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.00016,0.001,0.14923249049185972,939.4570640681238,0.0007669095814780442,0.12164177722983041,-398.68227040208916,0.00012948093306477035,0.30710725612577405,4.913716098012385e-05,0.00011086283901987616,0.0656189256555052,0.12437972177693468,k0_315,315.0,-5.296934425876884
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.005914244604316546,0.036964028776978415,5.548497782090084,937.1629487648258,-0.005524750557036589,-2.308431033214863,-398.6822704020992,-0.0024632120126573064,0.0,0.0,0.005914244604316546,0.0,0.445940735147276,k0_315,315.0,0.1583200059868659
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.011668489208633092,0.07292805755395683,10.934562173082625,934.8950737574671,-0.025799644053148944,-4.551538008717221,-389.56194349777496,-0.00486850143559318,0.0,0.0,0.011668489208633092,0.0,0.5616540756701301,k0_315,315.0,-0.8982057940680761
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.01742273381294964,0.10889208633093525,16.307727649632135,932.7007812819463,-0.05790607661304208,-6.453411207186075,-373.1072255795826,-0.00691905843406308,0.0,0.0,0.01742273381294964,0.0,0.644682624391348,k0_315,315.0,-1.9971990210150352
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.023176978417266184,0.14485611510791366,21.668539049349558,930.6136728684173,-0.10006865728992174,-8.062788336780699,-352.3080311731582,-0.00866394785704027,0.0,0.0,0.023176978417266184,0.0,0.7120760845643501,k0_315,315.0,-3.0835212752704138
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.02893122302158273,0.18082014388489207,27.01768506124472,928.6535141102611,-0.1506965891783755,-9.390319168043447,-328.9833955712631,-0.010111757534283679,0.0,0.0,0.02893122302158273,0.0,0.7700537619508175,k0_315,315.0,-4.140928743679751
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.03468546762589928,0.2167841726618705,32.3559379950467,926.8315868643251,-0.20813704410097028,-10.424376855242963,-304.2629716649518,-0.011247325838894767,0.0,0.0,0.03468546762589928,0.0,0.8216704316821469,k0_315,315.0,-5.161546039331597
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.04043971223021583,0.2527482014388489,37.684116376893094,925.1538802499285,-0.27066541772366376,-11.157030240883037,-278.8567007726478,-0.012059648107262963,0.0,0.0,0.04043971223021583,0.0,0.8686801422061295,k0_315,315.0,-6.140837344134297
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.04619395683453237,0.2887122302158273,43.00306144222803,923.6230547369513,-0.3365376062285657,-11.588808457105275,-253.21157864281727,-0.012547119084641924,0.0,0.0,0.04619395683453237,0.0,0.9121944072052061,k0_315,315.0,-7.076035286048068
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.051948201438848915,0.3246762589928057,48.313622335178025,922.2396843902419,-0.4040350947931757,-11.726322030736204,-227.6057803103052,-0.012715048191066846,0.0,0.0,0.051948201438848915,0.0,0.9529675976156675,k0_315,315.0,-7.965446406250521
