# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015804864e-04 7.2022029785e-08
1.5057016259e+00 2.4055955595e-04
3.0117339729e+00 4.6076189395e-04
4.5177460596e+00 1.2227807588e-04
6.0235460050e+00 -8.4400847805e-04
7.5290219265e+00 -2.4928274549e-03
9.0340975540e+00 -4.8596187046e-03
1.0538717844e+01 -7.9643951639e-03
1.2042841358e+01 -1.1818498082e-02
1.3546436037e+01 -1.6427217884e-02
1.5049476644e+01 -2.1791360088e-02
1.6551943099e+01 -2.7908258016e-02
1.8053819357e+01 -3.4772458388e-02
1.9555092606e+01 -4.2376202433e-02
2.1055752681e+01 -5.0709773377e-02
2.2555791631e+01 -5.9761753173e-02
2.4055203375e+01 -6.9519215690e-02
2.5553983449e+01 -7.9967874066e-02
2.7052128791e+01 -9.1092194488e-02
2.8549637573e+01 -1.0287548457e-01
3.0046509072e+01 -1.1529996217e-01
3.1542743549e+01 -1.2834680927e-01
3.3038342162e+01 -1.4199621375e-01
3.4533306887e+01 -1.5622740165e-01
3.6027640450e+01 -1.7101866142e-01
3.7521346277e+01 -1.8634736204e-01
3.9014428440e+01 -2.0218996552e-01
4.0506891623e+01 -2.1852203490e-01
4.1998741083e+01 -2.3531823858e-01
4.3489982622e+01 -2.5255235116e-01
4.4980622564e+01 -2.7019725129e-01
4.6470667727e+01 -2.8822491730e-01
4.7960125411e+01 -3.0660642028e-01
4.9449003375e+01 -3.2531191503e-01
5.0937309829e+01 -3.4431062938e-01
5.2425053416e+01 -3.6357085172e-01
5.3912243207e+01 -3.8305991696e-01
5.5398888688e+01 -4.0274419096e-01
5.6884999756e+01 -4.2258905339e-01
5.8370586710e+01 -4.4255887955e-01
5.9855660248e+01 -4.6261702098e-01
6.1340231462e+01 -4.8272578429e-01
6.2824311835e+01 -5.0284640910e-01
6.4307913240e+01 -5.2293904510e-01
6.5791047936e+01 -5.4296272752e-01
6.7273728568e+01 -5.6287535159e-01
6.8755968170e+01 -5.8263364561e-01
7.0237780160e+01 -6.0219314338e-01
7.1719178346e+01 -6.2150815496e-01
7.3200176925e+01 -6.4053173652e-01
7.4680790485e+01 -6.5921565903e-01
7.6161034009e+01 -6.7751037577e-01
7.7640922875e+01 -6.9536498817e-01
7.9120472863e+01 -7.1272721111e-01
8.0599700158e+01 -7.2954333683e-01
8.2078621352e+01 -7.4575819682e-01
8.3557253451e+01 -7.6131512354e-01
8.5035613880e+01 -7.7615590957e-01
8.6513720485e+01 -7.9022076661e-01
8.7991591542e+01 -8.0344828199e-01
8.9469245765e+01 -8.1577537476e-01
9.0946702307e+01 -8.2713724915e-01
9.2423980769e+01 -8.3746734724e-01
9.3901101210e+01 -8.4669730045e-01
9.5378084150e+01 -8.5475687742e-01
9.6854950581e+01 -8.6157393341e-01
9.8331721973e+01 -8.6707435476e-01
9.9808420285e+01 -8.7118200369e-01
1.0128506797e+02 -8.7381866033e-01
1.0276168799e+02 -8.7490396283e-01
1.0423830382e+02 -8.7435534656e-01
1.0571493945e+02 -8.7208797860e-01
1.0719161942e+02 -8.6801469412e-01
1.0866836882e+02 -8.6204592739e-01
1.1014521327e+02 -8.5408964117e-01
1.1162217899e+02 -8.4405125482e-01
1.1309929275e+02 -8.3183356947e-01
1.1457658193e+02 -8.1733669007e-01
1.1605407451e+02 -8.0045794493e-01
1.1753179909e+02 -7.8109180481e-01
1.1900978488e+02 -7.5912979582e-01
1.2048806178e+02 -7.3446041148e-01
1.2196666029e+02 -7.0696902223e-01
1.2344561162e+02 -6.7653777965e-01
1.2492494767e+02 -6.4304552022e-01
1.2640470101e+02 -6.0636766445e-01
1.2788490498e+02 -5.6637611146e-01
1.2936559360e+02 -5.2293913297e-01
1.3084680168e+02 -4.7592126018e-01
1.3232856479e+02 -4.2518316929e-01
1.3381091929e+02 -3.7058156279e-01
1.3529390234e+02 -3.1196904502e-01
1.3677755194e+02 -2.4919399605e-01
1.3826190690e+02 -1.8210043845e-01
1.3974700695e+02 -1.1052790136e-01
1.4123289267e+02 -3.4311279454e-02
1.4271960554e+02 4.6719313153e-02
1.4420718801e+02 1.3273869547e-01
1.4569568344e+02 2.2392677420e-01
1.4718513621e+02 3.2046870689e-01
1.4867559165e+02 4.2255506955e-01
1.5016709616e+02 5.3038203068e-01
1.5165969718e+02 6.4415153046e-01
1.5315344322e+02 7.6407146705e-01
1.5464838389e+02 8.9035589120e-01
1.5614456996e+02 1.0232252027e+00
1.5764205333e+02 1.1629063604e+00
1.5914088713e+02 1.3096330951e+00
1.6064112568e+02 1.4636461318e+00
1.6214282458e+02 1.6251934209e+00
1.6364604069e+02 1.7945303759e+00
1.6515083223e+02 1.9719201208e+00
1.6665725875e+02 2.1576337450e+00
1.6816538119e+02 2.3519505724e+00
1.6967526195e+02 2.5551584353e+00
1.7118696487e+02 2.7675539573e+00
1.7270055531e+02 2.9894428534e+00
1.7421610017e+02 3.2211402364e+00
1.7573366794e+02 3.4629709336e+00
1.7725332876e+02 3.7152698193e+00
1.7877515444e+02 3.9783821583e+00
1.8029921851e+02 4.2526639589e+00
1.8182559626e+02 4.5384823445e+00
1.8335436484e+02 4.8362159380e+00
1.8488560322e+02 5.1462552567e+00
1.8641939235e+02 5.4690031275e+00
1.8795581510e+02 5.8048751143e+00
1.8949495642e+02 6.1542999651e+00
1.9103690333e+02 6.5177200721e+00
1.9258174501e+02 6.8955919522e+00
1.9412957283e+02 7.2883867483e+00
1.9568048047e+02 7.6965907460e+00
1.9723456392e+02 8.1207059096e+00
1.9879192160e+02 8.5612504445e+00
2.0035265439e+02 9.0187593774e+00
2.0191686574e+02 9.4937822045e+00
2.0348466167e+02 9.9849592075e+00
2.0505612257e+02 1.0490798814e+01
2.0663132977e+02 1.1013149436e+01
2.0821038810e+02 1.1553946422e+01
2.0979340425e+02 1.2113656475e+01
2.1138048671e+02 1.2692748019e+01
2.1297174576e+02 1.3291690031e+01
2.1456729343e+02 1.3910950736e+01
2.1616724345e+02 1.4550996158e+01
2.1777171120e+02 1.5212288508e+01
2.1938081364e+02 1.5895284404e+01
2.2099466924e+02 1.6600432924e+01
2.2261339787e+02 1.7328173457e+01
2.2423712072e+02 1.8078933367e+01
2.2586596018e+02 1.8853125456e+01
2.2750003969e+02 1.9651145224e+01
2.2913948364e+02 2.0473367907e+01
2.3078441716e+02 2.1320145312e+01
2.3243496597e+02 2.2191802442e+01
2.3409125617e+02 2.3088633904e+01
2.3575341403e+02 2.4010900144e+01
2.3742156576e+02 2.4958823472e+01
2.3909583725e+02 2.5932583931e+01
2.4077635378e+02 2.6932315039e+01
2.4246323977e+02 2.7958099408e+01
2.4415661841e+02 2.9009964287e+01
2.4585661137e+02 3.0087877086e+01
2.4756333839e+02 3.1191740931e+01
