# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015805175e-04 3.1298253686e-07
1.2750667295e+01 -1.2625965194e-03
2.5498658672e+01 -1.1683123224e-02
3.8237492472e+01 -2.8061983306e-02
5.0971512138e+01 -3.2385033246e-02
6.3706980889e+01 -9.1043209421e-03
7.6450602635e+01 5.5925129170e-02
8.9209106656e+01 1.7592829209e-01
1.0198914100e+02 3.6370126410e-01
1.1479727948e+02 6.3208333551e-01
1.2764007688e+02 9.9441650552e-01
1.4052414780e+02 1.4650135931e+00
1.5345626035e+02 2.0596640091e+00
1.6644344304e+02 2.7962149174e+00
1.7949310717e+02 3.6952795097e+00
1.9261319051e+02 4.7811488853e+00
2.0581233172e+02 6.0830292392e+00
2.1910009109e+02 7.6368116330e+00
2.3248724294e+02 9.4877516343e+00
2.4598618397e+02 1.1694720952e+01
2.5961153187e+02 1.4333734777e+01
2.7338069448e+02 1.7512955021e+01
2.8731567340e+02 2.1404464516e+01
3.0144614651e+02 2.6303629850e+01
3.1581563933e+02 3.2797041050e+01
3.3049718892e+02 4.2300876416e+01
3.4563947048e+02 5.8780011818e+01
3.6160636575e+02 8.8951802527e+01
3.7901413503e+02 1.2820834113e+02
3.9783652735e+02 1.6046595716e+02
4.1751773898e+02 1.8023980430e+02
4.3768701456e+02 1.9217654746e+02
4.5815408235e+02 1.9997473163e+02
4.7882005026e+02 2.0555736749e+02
4.9963148678e+02 2.0992457490e+02
5.2055862764e+02 2.1362106104e+02
5.4158459770e+02 2.1695674249e+02
5.6269979940e+02 2.2011421116e+02
5.8389885505e+02 2.2320386191e+02
6.0517887657e+02 2.2629359433e+02
6.2653845604e+02 2.2942551475e+02
6.4797706248e+02 2.3262567828e+02
6.6949467493e+02 2.3590995085e+02
6.9109155636e+02 2.3928763114e+02
7.1276811364e+02 2.4276373971e+02
7.3452481077e+02 2.4634049308e+02
7.5636211571e+02 2.5001826868e+02
7.7828046844e+02 2.5379624461e+02
8.0028026269e+02 2.5767282815e+02
8.2236183638e+02 2.6164594519e+02
8.4452546761e+02 2.6571323663e+02
8.6677137407e+02 2.6987219171e+02
8.8909971478e+02 2.7412023847e+02
9.1151059289e+02 2.7845480479e+02
9.3400405941e+02 2.8287335878e+02
9.5658011705e+02 2.8737343538e+02
9.7923872434e+02 2.9195265252e+02
1.0019797995e+03 2.9660872061e+02
1.0248032244e+03 3.0133944769e+02
1.0477088479e+03 3.0614806796e+02
