# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015805331e-04 3.8646346412e-07
1.2775728176e+01 1.7571474689e-02
2.5586447542e+01 5.7152210106e-02
3.8419176632e+01 1.1301067993e-01
5.1274471376e+01 1.9871207171e-01
6.4155692433e+01 3.2618963861e-01
7.7067163334e+01 5.0667835620e-01
9.0013588809e+01 7.5094037887e-01
1.0299984224e+02 1.0695449148e+00
1.1603089722e+02 1.4731675922e+00
1.2911182241e+02 1.9728826090e+00
1.4224780729e+02 2.5804501523e+00
1.5544420461e+02 3.3086076434e+00
1.6870658332e+02 4.1713756826e+00
1.8204078954e+02 5.1843832472e+00
1.9545301403e+02 6.3648957324e+00
2.0894982301e+02 7.7324257525e+00
2.2253827515e+02 9.3096423243e+00
2.3622602966e+02 1.1122584917e+01
2.5002143653e+02 1.3201181015e+01
2.6393365641e+02 1.5580130195e+01
2.7797279870e+02 1.8299830037e+01
2.9215008138e+02 2.1407485137e+01
3.0647801673e+02 2.4958431933e+01
3.2097062735e+02 2.9017709845e+01
3.3564369716e+02 3.3661897444e+01
3.5051506097e+02 3.8981201434e+01
3.6560493451e+02 4.5081716864e+01
3.8093628111e+02 5.2087634181e+01
3.9653520114e+02 6.0142888468e+01
4.1243130896e+02 6.9411218638e+01
4.2865802368e+02 8.0072659233e+01
4.4525263085e+02 9.2312919567e+01
4.6225585819e+02 1.0629987315e+02
4.7971054164e+02 1.2213929364e+02
4.9765877739e+02 1.3980330272e+02
5.1613693394e+02 1.5903726808e+02
5.3516844299e+02 1.7928190788e+02
5.5475585950e+02 1.9968438928e+02
5.7487581217e+02 2.1926001299e+02
5.9548076129e+02 2.3716062029e+02
6.1650786897e+02 2.5289297096e+02
6.3789054616e+02 2.6636177254e+02
6.5956749109e+02 2.7776022008e+02
6.8148717192e+02 2.8741845615e+02
7.0360864420e+02 2.9568998085e+02
7.2590043250e+02 3.0289274825e+02
7.4833877102e+02 3.0928925324e+02
7.7090586904e+02 3.1508667233e+02
7.9358844912e+02 3.2044473146e+02
8.1637660016e+02 3.2548517267e+02
8.3926290925e+02 3.3030035556e+02
8.6224181562e+02 3.3496028603e+02
8.8530913348e+02 3.3951808260e+02
9.0846170027e+02 3.4401412606e+02
9.3169711691e+02 3.4847917449e+02
9.5501355543e+02 3.5293669265e+02
9.7840961593e+02 3.5740459422e+02
1.0018842198e+03 3.6189654851e+02
1.0254365294e+03 3.6644233895e+02
