# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015804864e-04 1.9279075567e-07
1.2713545506e+01 -2.8199135614e-02
2.5370543528e+01 -1.0640983839e-01
3.7977530138e+01 -2.1299732126e-01
5.0546799713e+01 -3.2150480675e-01
6.3090103509e+01 -4.1193730842e-01
7.5618007025e+01 -4.6835117048e-01
8.8139939529e+01 -4.7747731691e-01
1.0066438258e+02 -4.2769674812e-01
1.1319907402e+02 -3.0826270820e-01
1.2575119665e+02 -1.0868773754e-01
1.3832754616e+02 1.8176629380e-01
1.5093468099e+02 5.7454211531e-01
1.6357905851e+02 1.0822222216e+00
1.7626716272e+02 1.7189773492e+00
1.8900562852e+02 2.5010588807e+00
2.0180136762e+02 3.4473677499e+00
2.1466170152e+02 4.5801379762e+00
2.2759450730e+02 5.9257828495e+00
2.4060838341e+02 7.5159675229e+00
2.5371284381e+02 9.3889959890e+00
2.6691855187e+02 1.1591637539e+01
2.8023760885e+02 1.4181575352e+01
2.9368391789e+02 1.7230750739e+01
3.0727365312e+02 2.0829356922e+01
3.2102582196e+02 2.5080428199e+01
3.3496214007e+02 3.0117423499e+01
3.4910885256e+02 3.6125193355e+01
3.6349798285e+02 4.3340165822e+01
3.7816870808e+02 5.2066521518e+01
3.9316936592e+02 6.2697130551e+01
4.0855979589e+02 7.5723516117e+01
4.2441343867e+02 9.1706185254e+01
4.4081726049e+02 1.1112821965e+02
4.5786466793e+02 1.3401505124e+02
4.7563370247e+02 1.5936291041e+02
4.9415017643e+02 1.8495809041e+02
5.1336192715e+02 2.0825845148e+02
5.3315667095e+02 2.2770635443e+02
5.5340733711e+02 2.4312348764e+02
5.7400439319e+02 2.5515042827e+02
5.9486506595e+02 2.6461828690e+02
6.1593039834e+02 2.7224980940e+02
6.3715934967e+02 2.7859298539e+02
6.5852351851e+02 2.8404186001e+02
6.8000321903e+02 2.8887468752e+02
7.0158474751e+02 2.9328742220e+02
7.2325851966e+02 2.9741861596e+02
7.4501780621e+02 3.0136688440e+02
7.6685787105e+02 3.0520292132e+02
7.8877537903e+02 3.0897773783e+02
8.1076798536e+02 3.1272833860e+02
8.3283404821e+02 3.1648166487e+02
8.5497242583e+02 3.2025736035e+02
8.7718233215e+02 3.2406973148e+02
8.9946323328e+02 3.2792915097e+02
9.2181477291e+02 3.3184307268e+02
9.4423671833e+02 3.3581677216e+02
9.6672892118e+02 3.3985389178e+02
9.8929128892e+02 3.4395853934e+02
