# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015805331e-04 3.7982114012e-07
1.2774449207e+01 1.6855391075e-02
2.5582457484e+01 5.5574414550e-02
3.8412329842e+01 1.1223582605e-01
5.1265400243e+01 2.0096336011e-01
6.4145435731e+01 3.3345263626e-01
7.7056894722e+01 5.2017451302e-01
9.0004407954e+01 7.7074970159e-01
1.0299261033e+02 1.0943185283e+00
1.1602610179e+02 1.4998774497e+00
1.2910946036e+02 1.9965741054e+00
1.4224727774e+02 2.5939717464e+00
1.5544420475e+02 3.3022958152e+00
1.6870500182e+02 4.1326748613e+00
1.8203459241e+02 5.0973870795e+00
1.9543811921e+02 6.2100443721e+00
2.0892099307e+02 7.4855969636e+00
2.2248892302e+02 8.9411216104e+00
2.3614803825e+02 1.0596303820e+01
2.4990494305e+02 1.2473403427e+01
2.6376679441e+02 1.4597861802e+01
2.7774139225e+02 1.6998889452e+01
2.9183728165e+02 1.9710133104e+01
3.0606386931e+02 2.2770466245e+01
3.2043155703e+02 2.6224925588e+01
3.3495189532e+02 3.0125816722e+01
3.4963776021e+02 3.4534009529e+01
3.6450355651e+02 3.9520435231e+01
3.7956545022e+02 4.5167774771e+01
3.9484163122e+02 5.1572281900e+01
4.1035260412e+02 5.8845592678e+01
4.2612149870e+02 6.7116199611e+01
4.4217437899e+02 7.6529951638e+01
4.5854050741e+02 8.7248383264e+01
4.7525248175e+02 9.9442746347e+01
4.9234609733e+02 1.1328021122e+02
5.0985968771e+02 1.2889697923e+02
5.2783256720e+02 1.4635209036e+02
5.4630209001e+02 1.6555875377e+02
5.6529891576e+02 1.8620309746e+02
5.8484064313e+02 2.0768709817e+02
6.0492529114e+02 2.2915805311e+02
6.2552762383e+02 2.4966715817e+02
6.4660122143e+02 2.6840999220e+02
6.6808627325e+02 2.8491661626e+02
6.8991952297e+02 2.9908983384e+02
7.1204223313e+02 3.1110989740e+02
7.3440438680e+02 3.2129722336e+02
7.5696569463e+02 3.3000414083e+02
7.7969478548e+02 3.3755474330e+02
8.0256770523e+02 3.4422174525e+02
8.2556635267e+02 3.5022387918e+02
8.4867711542e+02 3.5573208388e+02
8.7188977290e+02 3.6087815912e+02
8.9519664966e+02 3.6576309386e+02
9.1859197542e+02 3.7046410599e+02
9.4207140620e+02 3.7504024731e+02
9.6563166742e+02 3.7953673407e+02
9.8927028771e+02 3.8398824348e+02
1.0129854002e+03 3.8846303982e+02
