# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015805175e-04 2.9399236398e-07
1.2747149934e+01 -3.1706850806e-03
2.5487807901e+01 -1.5809193559e-02
3.8218998358e+01 -2.9790809422e-02
5.0947179460e+01 -2.5558438563e-02
6.3679733760e+01 1.1875628607e-02
7.6423763091e+01 9.4757004874e-02
8.9185856963e+01 2.3349649214e-01
1.0197210673e+02 4.3737172469e-01
1.1478818881e+02 7.1506813347e-01
1.2763946350e+02 1.0751047405e+00
1.4053107208e+02 1.5261832419e+00
1.5346802767e+02 2.0774905115e+00
1.6645529962e+02 2.7389782238e+00
1.7949789295e+02 3.5216391898e+00
1.9260092503e+02 4.4377980040e+00
2.0576970202e+02 5.5014335628e+00
2.1900979751e+02 6.7285529543e+00
2.3232713658e+02 8.1376405406e+00
2.4572808856e+02 9.7502136232e+00
2.5921957274e+02 1.1591528576e+01
2.7280918271e+02 1.3691501874e+01
2.8650533689e+02 1.6085892012e+01
3.0031746150e+02 1.8815320300e+01
3.1425599933e+02 2.1929419983e+01
3.2833289933e+02 2.5493503917e+01
3.4256209823e+02 2.9590477597e+01
3.5696000756e+02 3.4327866639e+01
3.7154637254e+02 3.9852665689e+01
3.8634564076e+02 4.6377079097e+01
4.0138930660e+02 5.4230472221e+01
4.1672028073e+02 6.3974153022e+01
4.3240183890e+02 7.6676970052e+01
4.4853769456e+02 9.4573993533e+01
4.6531768702e+02 1.2187477448e+02
4.8307841560e+02 1.6109634783e+02
5.0212766109e+02 2.0421250886e+02
5.2231952329e+02 2.3889152897e+02
5.4327419133e+02 2.6207028422e+02
5.6470606148e+02 2.7711900674e+02
5.8644469459e+02 2.8725481597e+02
6.0839102412e+02 2.9446855567e+02
6.3048661264e+02 2.9992555305e+02
6.5269635289e+02 3.0431774143e+02
6.7499888388e+02 3.0806705650e+02
6.9738115638e+02 3.1143752057e+02
7.1983525776e+02 3.1459797975e+02
7.4235650300e+02 3.1765826206e+02
7.6494225772e+02 3.2069066570e+02
7.8759119702e+02 3.2374309992e+02
8.1030283034e+02 3.2684733101e+02
8.3307719274e+02 3.3002427569e+02
8.5591464208e+02 3.3328746795e+02
8.7881572505e+02 3.3664537009e+02
9.0178108829e+02 3.4010293654e+02
9.2481141962e+02 3.4366268663e+02
9.4790740953e+02 3.4732544863e+02
9.7106972624e+02 3.5109088062e+02
9.9429900017e+02 3.5495783851e+02
1.0175958147e+03 3.5890896243e+02
