rhob,rho_over_rho0,fq_star,y_star,mu_e,eps_e,eps_mu,energy_density,target_k0,mu_b,pressure,vs2,energy_density_mevfm3,pressure_mevfm3
1.2299999999999999e-09,1e-06,0.9980730079713227,1e-06,3.3992688562127403e-06,0.0,0.0,1.1537402389140895e-09,250.0,0.9410402615391495,3.73928277906436e-12,1.962597610088227e-08,0.00015015805331108307,4.866636387861744e-07
0.00021207015310344826,0.17241475862068964,0.0010004344041097497,0.008524650186832135,0.03771565502248406,5.124448316537262e-08,0.0,0.0001999101226651279,250.0,0.9442804728654137,3.435817880369154e-07,0.003490658583181097,26.018087819168677,0.04471680080545932
0.00042413907620689645,0.34482851724137925,0.0010004344041097497,0.019269820787943325,0.06236002404090366,3.8303299942296197e-07,0.0,0.00040050623971660525,250.0,0.9476325447789753,1.4217524095397685e-06,0.007861604236617916,52.12545707116102,0.18503954955039947
0.0006362079993103448,0.517242275862069,0.0010004344041097497,0.028809788764201684,0.08162401319986769,1.124333149592654e-06,0.0,0.000601836949203243,250.0,0.9517303632895188,3.661521108089369e-06,0.014945069610224333,78.32843273984952,0.4765430408023409
0.000848276922413793,0.6896560344827586,0.0010004344041097497,0.03677775165552359,0.09745630651104883,2.2849048233493928e-06,0.0,0.0008041711061719289,250.0,0.9571149774659524,7.727441309036097e-06,0.025029527810556458,104.66200602091396,1.0057181893323126
0.0010603458455172414,0.8620697931034483,0.0010004344041097497,0.04418894367379409,0.11064915821295149,3.7968501505085537e-06,1.3012316439347253e-07,0.0010077856343180143,250.0,0.963708413894534,1.4078578645064857e-05,0.037204912773520026,131.16221823596834,1.8323118943304355
0.0012724147686206894,1.0344835517241378,0.0010004344041097497,0.05278296603223913,0.12124455339271326,5.473706425691397e-06,8.1810824125093e-07,0.0012129163172126206,250.0,0.9714568358206148,2.317970776305402e-05,0.05186831530337059,157.8597563636307,3.0168140770542786
0.0014844836917241378,1.2068973103448275,0.0010004344041097497,0.060283142080086935,0.13029330398321928,7.299985058055843e-06,1.8090102429730344e-06,0.0014198172443459366,250.0,0.9805043408131207,3.5725459255866966e-05,0.06992055205564515,184.7876898782304,4.649630163332502
0.0016965526148275858,1.379311068965517,0.0010004344041097497,0.0664646470531959,0.1381900866077661,9.237232622175e-06,3.004375660750393e-06,0.0016287853165216106,250.0,0.9910446495343117,5.2574075056714426e-05,0.0920045828439511,211.98466010057663,6.842459419268679
0.001908621537931034,1.5517248275862066,0.0010004344041097497,0.07136533968367027,0.1451248631277765,1.123575268519824e-05,4.335841548249309e-06,0.0018401567874942878,250.0,1.0032994866766702,7.476222177195554e-05,0.11902097889444922,239.4944300957971,9.730222890600112
0.0021206904610344825,1.7241385862068963,0.0010004344041097497,0.07500657783504175,0.15117834854397272,1.3231031049093788e-05,5.734682748673954e-06,0.0020543225999011382,250.0,1.0175810073283342,0.00010365173566992012,0.1524818804945596,267.36788062836007,13.490162105431345
0.002332759384137931,1.896552344827586,0.0010004344041097497,0.077328645820291,0.15634399460271645,1.5134233833282638e-05,7.117484011061267e-06,0.002271751404283572,250.0,1.0343320017884023,0.00014109627920249473,0.19460715468618558,295.66600606303484,18.363529241577652
0.0025448283072413793,2.068966103448276,0.0010004344041097497,0.07815296922005253,0.16051964888632927,1.6817005506173806e-05,8.371449807367355e-06,0.0024930219474025394,250.0,1.0541788803710714,0.0001896823082617868,0.24834452070105406,324.4641296693523,24.686948756290665
0.0027568972303448273,2.2413798620689653,0.0011857783588107578,0.07708861209398052,0.16346039424505357,1.8083653921946028e-05,9.331587586990343e-06,0.002718868564120956,250.0,1.0779652388288214,0.00025297081721422244,0.3181738526685808,353.8578243412575,32.92388024288193
0.0029689661534482758,2.4137936206896553,0.0018263794881013006,0.07349550698425905,0.16470101527387906,1.8638939037177034e-05,9.7564212723126e-06,0.002950227802085298,250.0,1.106945064995534,0.0003362546296130438,0.41349343375549075,383.9689807493579,43.763179003843035
0.003181035076551724,2.586207379310345,0.0028946111033909885,0.06632565072381041,0.16328759418355115,1.8007307106746845e-05,9.273356579847085e-06,0.0031883658598575153,250.0,1.1433529997258436,0.000448680137151027,0.5778047816467518,414.96239327695986,58.39523809740742
0.003393103999655172,2.7586211379310344,0.0048537547510440595,0.05320264094395706,0.15669740544725821,1.527154115950938e-05,7.218785525124895e-06,0.003435167080843212,250.0,1.1950296749830445,0.0006196928890483768,1.265893912974788,447.0833071950625,80.65236413857465
0.00360517292275862,2.931034896551724,0.011034963940795246,0.025737453275052398,0.13215252240363942,7.725660107719916e-06,2.0614464201569795e-06,0.003695223172358151,250.0,1.3324505301011342,0.0011084913996778282,2.0714220061214412,480.9293282806457,144.2689654686601
0.0038172418458620686,3.1034486551724134,0.056470993421101304,0.02294382378715277,0.1330753344794907,7.94372360758945e-06,2.193226049520371e-06,0.004000309778857544,250.0,1.5197433700947816,0.0018009182084397007,1.735969067416006,520.6360225416963,234.38757116273655
0.0040293107689655175,3.275862413793104,0.10506982834859827,0.02862257590878927,0.14597574853860107,1.1501587423915341e-05,4.518674721026926e-06,0.004339803852137362,250.0,1.6255868224122096,0.0022101906372965904,0.8248801980814333,564.8208116605438,287.6539383381519
0.0042413796920689655,3.4482761724137934,0.14959513838192598,0.030866725078629767,0.15381746645294977,1.417940754063696e-05,6.418549016173338e-06,0.004689782672537772,250.0,1.6608922091198597,0.0023546918139387626,0.3133580867878245,610.3701793595479,306.4606113256277
0.0044534486151724135,3.6206899310344824,0.19011771861217105,0.03176938519328375,0.15963914582509,1.6451041377131284e-05,8.096526810272523e-06,0.005044251096495273,250.0,1.6776322078201051,0.0024269977361898124,0.17265388683939378,656.5038641409707,315.8711494709378
0.004665517538275862,3.793103689655173,0.22701942469817793,0.03210104416942826,0.16444643400959028,1.8523963259826943e-05,9.668270517848993e-06,0.005401329983889912,250.0,1.688477889250203,0.00247629322139792,0.12908372974929205,702.9772979358537,322.28690394166824
0.00487758646137931,3.965517448275862,0.2607261495095068,0.032121937042174434,0.16858397494715036,2.0459802230862078e-05,1.116453384697306e-05,0.005760398471809823,250.0,1.6974462956458112,0.002519042598750648,0.118591243316812,749.7096761028448,327.8506895036491
0.005089655384482758,4.1379312068965515,0.2916232239378802,0.03195007709739301,0.17221839232785718,2.2282020147546142e-05,1.2594200741389767e-05,0.006121281199777001,250.0,1.7059824297633313,0.0025615814597009174,0.12083546586519012,796.6781756640183,333.3870765818837
