rhob,rho_over_rho0,y,fq_star,energy_density,target_k0,mu_b,pressure,vs2,energy_density_mevfm3,pressure_mevfm3
1.2299999999999999e-09,1e-06,0.3,0.9968975881537729,1.15374020304712e-09,280.0,0.9392859042268259,1.5814591518757935e-12,-5.0805127114800183e-08,0.00015015804864303552,2.058252105865471e-07
0.0001042384972881356,0.08474674576271186,0.3,0.0010004344041097497,9.7702843336945e-05,280.0,0.9353159946635621,-2.0690956365744214e-07,-0.0041651723992981275,12.715920155685769,-0.02692905754894159
0.00020847576457627118,0.16949249152542373,0.3,0.0010004344041097497,0.00019499072040943128,280.0,0.9314944914343257,-7.966941090753487e-07,-0.0076141327000395324,25.37783289760608,-0.10368888287692808
0.00031271303186440673,0.25423823728813555,0.3,0.0010004344041097497,0.00029189572389907645,280.0,0.9282235138420708,-1.6281346376893898e-06,-0.009263961035079513,37.989915053815196,-0.21189997494920412
0.00041695029915254234,0.3389839830508474,0.3,0.0010004344041097497,0.000388501685440408,280.0,0.9257618296734149,-2.5050136140727366e-06,-0.008933007079320274,50.56307722153593,-0.32602483221089407
0.0005211875664406779,0.42372972881355925,0.3,0.0010004344041097497,0.00048489349046871883,280.0,0.924088607550928,-3.269997923696015e-06,-0.007068196009330246,63.108367149029206,-0.42558671873629567
0.0006254248337288135,0.5084754745762712,0.3,0.0010004344041097497,0.0005811506278068223,280.0,0.9231491800760057,-3.7902053508959447e-06,-0.0038953926108118157,75.63613022123619,-0.49329115683392966
0.0007296621010169491,0.5932212203389831,0.3,0.0010004344041097497,0.0006773465861295304,280.0,0.9228899337434053,-3.9487780669244035e-06,0.00044652042781787753,88.15593091027804,-0.5139292255637641
0.0008338993683050847,0.6779669661016949,0.3,0.0010004344041097497,0.0007735496772091044,280.0,0.9232669196512573,-3.6379761349396083e-06,0.005883404589913377,100.67665991996748,-0.47347868782739616
0.0009381366355932203,0.7627127118644068,0.3,0.0010004344041097497,0.0008698242274934939,280.0,0.9242479199485731,-2.7533934189075647e-06,0.012394746328251136,113.2066892684371,-0.35835119712201835
0.001042373902881356,0.8474584576271187,0.3,0.0010004344041097497,0.00096623183215347,280.0,0.9258126537606666,-1.1888829160184569e-06,0.02000758275777783,125.75403550102737,-0.15473183500313753
0.0011466111701694916,0.9322042033898306,0.3,0.0010004344041097497,0.0010628325895910716,280.0,0.9279525702347478,1.1681928275798174e-06,0.02879410513814253,138.32652036023535,0.15203904220802414
0.001250848437457627,1.0169499491525422,0.3,0.0010004344041097497,0.0011596863123420132,280.0,0.9306707510711698,4.441742422875558e-06,0.03887248370362377,150.9319283833629,0.5780880071895552
0.0013550857047457624,1.101695694915254,0.3,0.0010004344041097497,0.0012568537412643822,280.0,0.9339821449064072,8.772111786075395e-06,0.0504108903552384,163.57816492787194,1.1416809302447946
0.0014593229720338981,1.186441440677966,0.3,0.0010004344041097497,0.0013543978053039236,280.0,0.9379142631886923,1.4322024765582586e-05,0.06363506849541378,176.27342012848374,1.8639961455250404
