model,parameter_value,a,b,K0,vs2_max,n_tr,n_tr_over_n0
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.7896206194186706,0.23608402877697837,1.4755251798561149
rks,,374.1246008659823,2.9343794358079145,517.6872568264379,0.8447374336907394,0.27636374100719424,1.7272733812949639
pr,,408.4315293063252,2.817208542931072,443.12146447778036,0.8731365411563563,0.2878722302158273,1.7992014388489206
dieterici,1.6666666666666667,102.65152674567649,2.2758720402060133,249.89454341417527,1.0077544699770329,0.3511689208633093,2.194805755395683
clausius,4.74,472.4462966410264,1.7259869725268282,249.81685380942588,1.126598977268287,0.4604995683453237,2.878122302158273
