model,parameter_name,parameter_value,a,b,K0,n_id,kf,p_id,eps_id,binding,n_sat,e_per_particle_minus_m_at_sat,p_sat,label,plot_order
vdw,,,328.92332141994257,3.4140201144371347,762.5389523893134,0.3526118097983361,1.73471960241986,8.42043702835053,343.66524825802156,-16.00000000047328,0.16000000819346138,-16.000000000472824,6.942038517365745e-07,VDW,0
cs,,,347.01721947748916,4.426714731633064,601.4493907713359,0.39628891670867816,1.8035754297326305,10.19424553335239,387.38143368313916,-16.00000000005241,0.16000000819346138,-16.00000000005241,5.475503410679039e-07,CS,1
tvm,,,349.0093263708852,4.280134137208359,564.2212831027393,0.40121020604611785,1.8110105996233306,10.402152878366994,392.3199865738519,-15.999999999784336,0.15999998396071732,-15.999999999783654,-1.0055224617389058e-06,TVM,2
rks,,,374.1246008659823,2.9343794358079145,517.6872568264379,0.30160266551600096,1.646678164415296,6.517580916264869,292.87925828357345,-16.000000000034447,0.15999998396071732,-16.00000000003422,-9.225922061872893e-07,RKS,3
pr,,,408.4315293063252,2.817208542931072,443.12146447778036,0.2913081125102325,1.6277256025593547,6.156552982101365,282.6662516639923,-15.999999999750116,0.16000000819346138,-15.999999999749662,4.0341101570362525e-07,PR,4
