c,a,b,K0,n_id,kf,p_id,eps_id,binding,n_sat,e_per_particle_minus_m_at_sat,p_sat
0.0,328.9233214180489,3.41402011442717,762.53895258116,0.35261180979709716,1.7347196024178282,8.420437028302052,343.66524825678476,-16.000000000253067,0.15999999607708934,-16.000000000255113,-3.3237423124887755e-07
1.185,366.5873572033265,2.9692330297228655,538.6026357312446,0.3048067750802574,1.6524888589446731,6.631557464912479,296.06053662190453,-15.99999999995589,0.16000000533317396,-15.99999999995623,3.191624644571789e-07
2.37,402.890766584453,2.5410697707717063,401.8082745047558,0.2696195232036131,1.586283402835067,5.422165666965253,261.190965636058,-16.0000000003364,0.15999998110042987,-16.000000000335262,-8.43778192205491e-07
3.555,438.1122473055528,2.1272442742868103,312.01420907756017,0.24255620913048673,1.5313265075708817,4.557117200041844,234.47485091522003,-15.999999999940428,0.16000000533317396,-15.999999999937472,1.8489118236431068e-07
4.74,472.44629664682503,1.7259869725605144,249.81685491654025,0.22104268797076895,1.4846441995875632,3.9116236585896607,213.30370583701145,-16.00000000014063,0.16000002030983343,-16.00000000013995,5.637487063836488e-07
