target_k0,a_n,a_pn,b_n,b_pn,c,ratio_a_pn_over_a_n,ratio_b_pn_over_b_n
250.0,259.41373299579254,685.2412821029766,1.3169230324118786,2.1378191080947535,4.735852815975205,2.6414996391655587,1.6233440037717655
260.0,256.197399369316,675.8546394137445,1.3512715162266888,2.250403628476553,4.516312341231182,2.638023028639258,1.6653970733880443
270.0,253.17780221730465,666.9511436181422,1.384756503787714,2.3560790165044563,4.3094530904642205,2.634319192982378,1.701439213363426
280.0,250.33652601237475,658.4888689143987,1.417423248321993,2.455476198790412,4.11410812010825,2.6304146638267563,1.7323521408988536
290.0,247.65745403286007,650.4309019602375,1.4493131042492868,2.5491494621483,3.929255253400764,2.626332829352013,1.7588673245790494
300.0,245.1264075886388,642.7445715740498,1.4804640626499395,2.637588215908148,3.753994374275208,2.6220943630548272,1.7815955702342599
310.0,242.7308576742723,635.4008422277519,1.5109111066450878,2.7212263702008386,3.5875294213514457,2.6177176166056935,1.801049948096022
315.0,241.58037146868372,631.8492470995354,1.52588085720643,2.761367569573909,3.5073713953624717,2.6154825545561455,1.8096875365678273
