target_k0,c,a_avg,b_avg,a_n,a_pn,b_n,b_pn,ratio_a_pn_over_a_n,ratio_b_pn_over_b_n,J,L,K0,binding,n_sat,p_sat,j_residual,l_residual,k0_residual,delta_a,delta_b,a_avg_check,b_avg_check,a_avg_error,b_avg_error
250.0,4.735852815975205,472.32750754938456,1.727371070253316,259.41373299579254,685.2412821029766,1.3169230324118786,2.1378191080947535,2.6414996391655587,1.6233440037717655,32.49999999060515,58.899999995628605,250.00000198605045,-15.999999999630973,0.16000001568179112,4.3560508800055686e-07,-9.394852895638905e-09,-4.371393913515931e-09,1.9860504494317865e-06,212.91377455359202,0.41044803784143746,472.32750754938456,1.727371070253316,0.0,0.0
260.0,4.516312341231182,466.02601939153027,1.8008375723516208,256.197399369316,675.8546394137445,1.3512715162266888,2.250403628476553,2.638023028639258,1.6653970733880443,32.50000000097543,58.90000002018496,260.0000007051406,-15.999999999768193,0.15999999321680192,-1.9595899569679887e-07,9.754330676514655e-10,2.0184963034353132e-08,7.051406214486633e-07,209.82862002221427,0.44956605612493206,466.0260193915302,1.8008375723516208,-5.684341886080802e-14,0.0
270.0,4.3094530904642205,460.0644729177234,1.8704177601460852,253.17780221730465,666.9511436181422,1.384756503787714,2.3560790165044563,2.634319192982378,1.701439213363426,32.50000000315299,58.89999999672,269.9999988506896,-16.000000000379373,0.16000000070513165,2.115339370334368e-08,3.152990757371299e-09,-3.280000271388417e-09,-1.1493103784232517e-06,206.88667070041876,0.4856612563583711,460.0644729177234,1.8704177601460852,0.0,0.0
280.0,4.11410812010825,454.41269746338673,1.9364497235562026,250.33652601237475,658.4888689143987,1.417423248321993,2.455476198790412,2.6304146638267563,1.7323521408988536,32.499999996661245,58.89999995170001,280.00000000183434,-15.999999999746478,0.16000002779816316,8.648315237280713e-07,-3.3387550502084196e-09,-4.8299988009148365e-08,1.8343371266382746e-09,204.076171451012,0.5190264752342095,454.41269746338673,1.9364497235562026,0.0,0.0
290.0,3.929255253400764,449.0441779965488,1.9992312831987935,247.65745403286007,650.4309019602375,1.4493131042492868,2.5491494621483,2.626332829352013,1.7588673245790494,32.50000000242801,58.89999999699285,290.00000078927,-15.999999999684292,0.1600000249378757,8.035542080619962e-07,2.4280097932205535e-09,-3.0071518608565384e-09,7.892700182310364e-07,201.38672396368872,0.5499181789495066,449.0441779965488,1.9992312831987933,0.0,-2.220446049250313e-16
300.0,3.753994374275208,443.9354895813443,2.0590261392790437,245.1264075886388,642.7445715740498,1.4804640626499395,2.637588215908148,2.6220943630548272,1.7815955702342599,32.499999996568135,58.90000010449512,300.00000097718527,-15.999999999539682,0.15999997361210014,-8.795964063779138e-07,-3.431864570302423e-09,1.0449512188870358e-07,9.7718526603785e-07,198.8090819927055,0.5785620766291042,443.9354895813443,2.0590261392790437,0.0,0.0
310.0,3.5875294213514457,439.0658499510121,2.116068738422963,242.7308576742723,635.4008422277519,1.5109111066450878,2.7212263702008386,2.6177176166056935,1.801049948096022,32.5000000007708,58.900000057292345,310.000001316979,-15.999999999511942,0.15999998396071732,-5.524639394849373e-07,7.707967597525567e-10,5.7292346866688604e-08,1.316979023613385e-06,196.3349922767398,0.6051576317778754,439.0658499510121,2.116068738422963,0.0,0.0
315.0,3.5073713953624717,436.71480928410955,2.1436242133901695,241.58037146868372,631.8492470995354,1.52588085720643,2.761367569573909,2.6154825545561455,1.8096875365678273,32.500000001379135,58.90000000981672,314.9999987450691,-16.000000000304908,0.16000001568179112,5.488632659478299e-07,1.379135028400924e-09,9.81672343414175e-09,-1.2549309076348436e-06,195.13443781542585,0.6177433561837394,436.7148092841096,2.1436242133901695,5.684341886080802e-14,0.0
