model,parameter_value,a,b,K0,n,n_over_n0,eps,mu_b,P,dP_dn,d2eps_dn2,vs2,quark_fraction,n_q,n_n,k_bu,k_f
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.00016,0.001,0.148924634433838,939.7310155121961,-1.8780943436808636e-05,0.856615357338219,-237.86358411917126,0.0009115537778343144,0.41358498398842,6.61735974381472e-05,9.382640256185281e-05,0.07614785887127082,0.12233911715383904
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.005914244604316546,0.036964028776978415,5.552428770024501,938.3622902667151,-0.0010252673649449938,-1.206439353611568,-237.86358411917044,-0.0012856861002680064,0.00011824211714150706,6.993128033071231e-07,0.005913545291513239,0.007828611556199495,0.4470605130334922
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.011668489208633092,0.07292805755395683,10.948056925756562,936.9105551451698,-0.013903075225345823,-3.23006867105959,-266.7152863918459,-0.0034475742143380015,0.0,0.0,0.011668489208633092,0.0,0.5645297155165824
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.01742273381294964,0.10889208633093525,16.33485378336713,935.3229891477417,-0.03819847780897812,-5.156882565083446,-285.07425562289444,-0.005513477830564556,0.0,0.0,0.01742273381294964,0.0,0.6497006943747097
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.023176978417266184,0.14485611510791366,21.712211452949795,933.6510022584313,-0.07325100257579681,-7.011689813735046,-296.0574147466121,-0.007509968710764834,0.0,0.0,0.023176978417266184,0.0,0.7195858950125769
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.02893122302158273,0.18082014388489207,27.079766267487756,931.9314741395345,-0.11889243436463047,-8.838248697988782,-301.59813768032024,-0.009483796763221525,0.0,0.0,0.02893122302158273,0.0,0.7803827686901403
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.03468546762589928,0.2167841726618705,32.43733476627016,930.1921933694832,-0.17496589233981621,-10.618716226892117,-302.92283410684155,-0.011415615291746744,0.0,0.0,0.03468546762589928,0.0,0.8351383583050707
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.04043971223021583,0.2527482014388489,37.784873086835205,928.4551585915134,-0.24109781547135556,-12.310943461257336,-300.8174993046686,-0.013259599397275475,0.0,0.0,0.04043971223021583,0.0,0.8856069366178217
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.04619395683453237,0.2887122302158273,43.122450939620315,926.738668465525,-0.31664625231178833,-13.869104851218925,-295.7821394040184,-0.014965497095511407,0.0,0.0,0.04619395683453237,0.0,0.9329055480780903
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.051948201438848915,0.3246762589928057,48.450235052093696,925.0587026759069,-0.40071025898500934,-15.249706680870542,-288.12275346664575,-0.016485123200028158,0.0,0.0,0.051948201438848915,0.0,0.9777981113271268
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.05770244604316546,0.36064028776978413,53.76847903671812,923.5099619331752,-0.49214733708340697,-16.236722074237168,-250.1723136460504,-0.017581534302292725,0.0,0.0,0.05770244604316546,0.0,1.020836232899638
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.06345669064748201,0.39660431654676254,59.0784394830668,921.9956043623204,-0.5875703997599425,-16.97493093583518,-276.17221113098,-0.0184110757746785,0.0,0.0,0.06345669064748201,0.0,1.0624360313223022
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.06921093525179856,0.43256834532374094,64.37925549992903,920.4629787856697,-0.6875031465757582,-17.599919797703635,-256.5217155404321,-0.01912072533424702,0.0,0.0,0.06921093525179856,0.0,1.1029232178455868
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.0749651798561151,0.4685323741007194,69.67157774136795,919.0397567944051,-0.7901188868246227,-17.890672679134006,-238.1468601391891,-0.019466701572885558,0.0,0.0,0.0749651798561151,0.0,1.1425611278047054
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.08071942446043165,0.5044964028776978,74.95601462330222,917.7265122802198,-0.8933977600387588,-17.8102613631272,-218.29689729205376,-0.019406937823856822,0.0,0.0,0.08071942446043165,0.0,1.1815690081742154
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.08647366906474818,0.5404604316546762,80.23322340442134,916.5336663766377,-0.9950880875251068,-17.31611879397433,-196.29997357649646,-0.018893052627767297,0.0,0.0,0.08647366906474818,0.0,1.220134454432649
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.09222791366906474,0.5764244604316546,85.50393243214668,915.4746989165689,-1.092680126314621,-16.36245504993166,-171.76483175774166,-0.017873191983673643,0.0,0.0,0.09222791366906474,0.0,1.2584221931790165
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.0979821582733813,0.6123884892086331,90.76895409767933,914.565202628469,-1.1833952248939898,-14.903550019231123,-144.34835099426385,-0.01629577637154593,0.0,0.0,0.0979821582733813,0.0,1.2965805112507442
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.10373640287769784,0.6483525179856114,96.02919619718776,913.8227947552597,-1.264197470881266,-12.897334344245976,-113.68999261508691,-0.014113605414822405,0.0,0.0,0.10373640287769784,0.0,1.3347461353596113
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.10949064748201438,0.6843165467625899,101.28567386972315,913.2672965566165,-1.3318240580148775,-10.3044791206343,-79.38424626079812,-0.011283092211323358,0.0,0.0,0.10949064748201438,0.0,1.3730480794462814
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.11524489208633093,0.7202805755395683,106.5395230242071,912.9210398773259,-1.3827864576416709,-7.035495830789495,-40.96401944584168,-0.007706576498373717,0.0,0.0,0.11524489208633093,0.0,1.4116108060039998
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.12099913669064748,0.7562446043165467,111.79201580548546,912.8092892471628,-1.4127919858609015,-2.9771330216523832,2.1229072417361956,-0.003261506052494017,0.0,0.0,0.12099913669064748,0.0,1.4505569434890933
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.12675338129496402,0.7922086330935252,117.04457887904812,912.9611631641369,-1.4170487608940225,2.0500467480109443,50.663836255049674,0.0022454917369167174,0.0,0.0,0.12675338129496402,0.0,1.4900097380410913
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.13250762589928056,0.8281726618705034,122.29881949966104,913.4109150792301,-1.3891990449842242,8.518573654962834,105.65621825115096,0.00932611326877337,0.0,0.0,0.13250762589928056,0.0,1.5300953792692948
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.13826187050359712,0.864136690647482,127.55655853828512,914.1991873345827,-1.3190128479129366,17.204621087979387,168.32318636478408,0.01881933535528594,0.0,0.0,0.13826187050359712,0.0,1.5709453184808955
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.14401611510791365,0.9001007194244603,132.81987098164223,915.3749588063673,-1.191199848854592,29.10578323619216,240.33913254414125,0.03179656921590425,0.0,0.0,0.14401611510791365,0.0,1.6126986888365504
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.1497703597122302,0.9360647482014388,138.09114137356116,916.9989694150383,-0.9840492556304051,45.39891382915232,324.1174452846065,0.04950814051417384,0.0,0.0,0.1497703597122302,0.0,1.6555049382849731
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.15552460431654674,0.9720287769784172,143.37314372548286,919.1492953441293,-0.6687269389681288,67.31176969437266,423.270292621313,0.07323268378198684,0.0,0.0,0.15552460431654674,0.0,1.6995267971788888
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.16127884892086328,1.0079928057553955,148.66916112015176,921.9299835348907,-0.20939248048872314,95.97824798166222,543.2121501575914,0.10410578861277474,0.0,0.0,0.16127884892086328,0.0,1.7449437240552053
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.16703309352517984,1.043956834532374,153.98316499210944,925.4826418088447,0.4358376921923418,132.29773439136778,691.5835591833323,0.14294998999958924,0.0,0.0,0.16703309352517984,0.0,1.791956007496269
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.17278733812949637,1.0799208633093522,159.3200681161861,929.9975362735453,1.3131545680809404,176.8119393626501,877.6561152342106,0.1901208685682404,0.0,0.0,0.17278733812949637,0.0,1.8407897534565836
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.1785415827338129,1.1158848920863307,164.68603160236887,935.7155556317916,2.4706759883048846,229.60607722529812,1109.7530935989228,0.2453802075249983,0.0,0.0,0.1785415827338129,0.0,1.8917030627501525
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.18429582733812946,1.1518489208633091,170.08874049052469,942.9106723679021,3.9555736300648605,290.238307215276,1391.0501328455439,0.30781103207413024,2.132879570435563e-05,3.930808050460162e-06,0.184291896530079,0.018560439692656968,1.9449570857676983
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.19005007194244602,1.1878129496402876,175.53750890001987,951.8507183858653,5.810880414823833,357.69940484393203,1716.2373158864184,0.3757935965531586,0.0001519543639002604,2.887893779121311e-05,0.1900211930046548,0.05030661706206235,2.0007316431494955
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.19580431654676259,1.223776978417266,181.0431042112981,962.7483722257284,8.072153370645742,430.40194253222097,2071.4549319139883,0.4470554871333585,0.000456515645798605,8.938773401849981e-05,0.19571492881274408,0.08849981268833404,2.0592701005448317
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.2015585611510791,1.2597410071942443,186.61728815240872,975.7204224813413,10.764156525830607,506.19997260263415,2437.2342697518216,0.5187961232945436,0.0010268007364137386,0.00020696047902042157,0.20135160067205868,0.13464390159952316,2.1207913834179735
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.20731280575539565,1.2957050359712228,192.2721721640675,990.7664069272154,13.89775029275351,582.4446379800094,2792.2912302910754,0.587872816344688,0.0019971438526211133,0.0004140334955840234,0.20689877225981163,0.19039454280260565,2.1854387035017577
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.2130670503597122,1.3316690647482012,198.0195126548068,1007.7667052566923,17.46721435664977,656.0843480280695,3116.494196286601,0.6510280053963041,0.00356139292608427,0.00075881548593272,0.2123082348737795,0.25764901658878037,2.2531979428511724
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.21882129496402875,1.3676330935251797,203.87004441633388,1026.494125698809,21.448289931987627,723.8226244362562,3392.5862234320884,0.7051405422739244,0.005982687863519359,0.0013091395056608847,0.21751215545836786,0.3381996384774586,2.3237914591767757
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.22457553956834528,1.403597122302158,209.83290922313677,1046.6326613354088,25.79731921893889,782.3489390907462,3606.9548184955465,0.7474914246346369,0.009591752137887537,0.002154072911771923,0.22242146665657336,0.4333942609051066,2.3965516568796255
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.23032978417266184,1.4395611510791364,215.91520510471537,1067.7991482930913,30.45194425489903,828.6463287235941,3749.870764415749,0.776032018800736,0.014738139271010624,0.0033946324373985088,0.22693515173526332,0.543286070558032,2.4703843158095378
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.23608402877697837,1.4755251798561149,222.12166419825542,1089.5656846812835,35.3337865508278,860.343530835363,3815.5137073754313,0.7896206194186706,0.021697059500805596,0.005122329219564,0.23096169955741438,0.6660608761439363,2.543905128204014
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.24183827338129493,1.5114892086330933,228.45446002896685,1111.4820959076367,40.3531984952351,876.0290053664601,3801.9626890624354,0.7881629480060086,0.0305597172601581,0.007390509257217192,0.23444776412407775,0.7980316341885757,2.6157878513202886
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.2475925179856115,1.5474532374100718,234.91314390459738,1133.097981689611,45.415556905537315,875.4244864748957,3711.0602247546076,0.7725938097334819,0.04118894517670617,0.010198074649471988,0.23739444333613952,0.9345784140503159,2.6851211917864304
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.253346762589928,1.58341726618705,241.49470592356565,1153.984633320015,50.42801175080458,859.3643350244635,3548.5031294816404,0.7446930489464763,0.053273013924678245,0.013496545611225388,0.23985021697870262,1.071401865825528,2.7515427641689194
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.25910100719424456,1.6193812949640285,248.19376360408916,1173.7577569611522,55.30554208145048,829.612992603567,3324.0318428098885,0.7068008604700746,0.06643146457658958,0.01721245938118314,0.2418885478130614,1.2053324748416865,2.815119059130685
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.2648552517985611,1.655345323741007,255.00288440310248,1192.1007367424825,59.97560392352456,788.603796386997,3051.4287233156174,0.6615244602078886,0.08030246660351018,0.021268530012318234,0.24358672178624288,1.3344587212380499,2.8761370502968395
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.2706094964028777,1.6913093525179854,261.9130420684936,1208.7871602180855,64.38118036205735,739.1720516350877,2748.263372875621,0.6114989271574729,0.09458570845677143,0.025595790932396327,0.24501370547048135,1.4578641400034478,2.9349412236360477
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.27636374100719424,1.7272733812949639,268.9141983920066,1223.6999713609225,68.48235750309017,684.3175583051151,2434.9751469622,0.5592200492936679,0.10905099845277053,0.030137741892977413,0.24622599911421683,1.5752851046825522,2.9918479724576525
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.28211798561151075,1.7632374100719421,275.9959799835054,1236.8420820296144,72.2566415970899,627.0033553369421,2132.821869811604,0.5069388925610064,0.1235299557192304,0.0348500222701884,0.24726796334132234,1.686833277109733,3.047116941791836
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.2878722302158273,1.7992014388489206,283.14838214582767,1248.3313367540304,75.69821885176209,569.986752319143,1860.4928098609264,0.45659892973707544,0.13790345762021516,0.03969857589960516,0.24817365431622215,1.792814483557014,3.100948410390178
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.29362647482014387,1.835165467625899,290.3623877013377,1258.374444670793,78.81632798521859,515.6786256360915,1630.185326841496,0.40979743972073407,0.15208735436421425,0.04465687372668625,0.24896960109345762,1.8936069201740109,3.153501371122262
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.29938071942446043,1.8711294964028777,297.6303708627412,1267.2228521066208,81.63290075001781,466.03033760491894,1445.2513444407962,0.3677572076846578,0.1660250151385989,0.04970468847465068,0.24967603094980975,1.9896159666455269,3.2048944126735806
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.30513496402877693,1.9070935251798558,304.94620821973996,1275.1249829734763,84.17963309644043,422.450225668732,1301.2884397483224,0.33130103425910157,0.17967926559494196,0.05482642624402967,0.25030853778474726,2.081237959763597,3.255217836978385
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.3108892086330935,1.9430575539568342,312.30513296894986,1282.2926059678268,86.49466461331102,385.75384901296053,1189.9588002386251,0.300831375941537,0.1930256921523416,0.060009604679096606,0.2508796039539969,2.168838486499264,3.304546957291471
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.31664345323741006,1.979021582733813,319.70345883783074,1288.889042667274,88.61907710499477,356.1557141503001,1102.7614968786188,0.2763276762856626,0.20605066182182918,0.06524459310111776,0.2513988601362923,2.25275693658873,3.352938952365039
vdw,,328.92332141994257,3.4140201144371347,762.5389523893134,0.3223976978417266,2.014985611510791,327.13829860761166,1295.0337213761184,90.59347880620277,333.3110362151331,1032.9414950410476,0.2573763375527803,0.21874753574511158,0.07052370193277477,0.2518739959089519,2.3332998835891487,3.4004411894318918
