# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015805175e-04 2.8816293209e-07
9.5222225449e+00 1.6226272013e-04
1.9044618871e+01 -8.5078255065e-03
2.8558183206e+01 -3.2374542862e-02
3.8061724489e+01 -6.5150863992e-02
4.7556394976e+01 -9.8834033322e-02
5.7044688880e+01 -1.2337715714e-01
6.6530115586e+01 -1.2656280087e-01
7.6017089709e+01 -9.3732275231e-02
8.5510917457e+01 -7.4025114922e-03
9.5017837452e+01 1.5322416915e-01
1.0454509971e+02 4.1286668378e-01
1.1410107666e+02 8.0090653095e-01
1.2369540502e+02 1.3522896494e+00
1.3333916015e+02 2.1086222768e+00
1.4304506639e+02 3.1195031064e+00
1.5282774889e+02 4.4434065435e+00
1.6270394141e+02 6.1431243877e+00
1.7269209111e+02 8.2911558124e+00
1.8281317341e+02 1.0973294509e+01
1.9309064971e+02 1.4280049745e+01
2.0355022698e+02 1.8301018878e+01
2.1421932390e+02 2.3113849484e+01
2.2512595452e+02 2.8765262879e+01
2.3629680590e+02 3.5244948317e+01
2.4775441914e+02 4.2457920252e+01
2.5951377838e+02 5.0209188412e+01
2.7157924826e+02 5.8218796711e+01
2.8394324889e+02 6.6174201551e+01
2.9658762346e+02 7.3801147060e+01
3.0948728811e+02 8.0917201475e+01
3.2261457573e+02 8.7444930318e+01
3.3594272663e+02 9.3390694458e+01
3.4944790130e+02 9.8810840866e+01
3.6310991012e+02 1.0378253655e+02
3.7691215010e+02 1.0838518550e+02
3.9084117392e+02 1.1269111596e+02
4.0488615393e+02 1.1676219547e+02
4.1903836996e+02 1.2064955845e+02
4.3329076993e+02 1.2439468708e+02
4.4763761258e+02 1.2803091334e+02
4.6207418486e+02 1.3158491035e+02
4.7659658167e+02 1.3507800442e+02
4.9120153514e+02 1.3852726516e+02
5.0588628255e+02 1.4194638455e+02
5.2064846398e+02 1.4534637483e+02
5.3548604277e+02 1.4873611831e+02
5.5039724338e+02 1.5212279926e+02
5.6538050262e+02 1.5551224322e+02
5.8043443123e+02 1.5890918408e+02
5.9555778331e+02 1.6231747491e+02
6.1074943198e+02 1.6574025511e+02
6.2600834984e+02 1.6918008338e+02
6.4133359320e+02 1.7263904408e+02
6.5672428926e+02 1.7611883257e+02
6.7217962572e+02 1.7962082411e+02
6.8769884218e+02 1.8314612965e+02
7.0328122308e+02 1.8669564119e+02
7.1892609191e+02 1.9027006891e+02
7.3463280629e+02 1.9386997160e+02
7.5040075392e+02 1.9749578169e+02
7.6622934916e+02 2.0114782601e+02
7.8211803014e+02 2.0482634288e+02
7.9806625631e+02 2.0853149650e+02
8.1407350634e+02 2.1226338879e+02
8.3013927636e+02 2.1602206943e+02
8.4626307839e+02 2.1980754424e+02
8.6244443901e+02 2.2361978218e+02
8.7868289824e+02 2.2745872135e+02
8.9497800850e+02 2.3132427401e+02
9.1132933374e+02 2.3521633082e+02
9.2773644866e+02 2.3913476446e+02
9.4419893806e+02 2.4307943270e+02
9.6071639617e+02 2.4705018104e+02
9.7728842616e+02 2.5104684489e+02
9.9391463965e+02 2.5506925151e+02
1.0105946562e+03 2.5911722164e+02
1.0273281032e+03 2.6319057083e+02
1.0441146149e+03 2.6728911068e+02
1.0609538329e+03 2.7142655145e+02
