# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015805331e-04 3.3451750901e-07
9.5322146644e+00 7.2207195459e-03
1.9078719485e+01 1.8190681140e-02
2.8628973966e+01 2.5737163880e-02
3.8181759628e+01 3.7691933805e-02
4.7738624264e+01 6.3927070105e-02
5.7302719739e+01 1.1675710304e-01
6.6878399476e+01 2.1095851529e-01
7.6471064471e+01 3.6395296697e-01
8.6087115899e+01 5.9608150165e-01
9.5733963410e+01 9.3094828850e-01
1.0542006769e+02 1.3958271339e+00
1.1515500730e+02 2.0217916638e+00
1.2494950847e+02 2.8430537501e+00
1.3481537759e+02 3.8984164285e+00
1.4476574240e+02 5.2318171435e+00
1.5481503113e+02 6.8909240887e+00
1.6497896684e+02 8.9267607899e+00
1.7527450949e+02 1.1392336238e+01
1.8571970927e+02 1.4340216447e+01
1.9633343152e+02 1.7818709865e+01
2.0713490649e+02 2.1866332040e+01
2.1814305688e+02 2.6504434444e+01
2.2937557155e+02 3.1728433956e+01
2.4084773741e+02 3.7499067494e+01
2.5257112335e+02 4.3736379966e+01
2.6455232270e+02 5.0320065701e+01
2.7679206159e+02 5.7099131956e+01
2.8928498923e+02 6.3910768633e+01
3.0202031577e+02 7.0603743032e+01
3.1498318618e+02 7.7058661980e+01
3.2815642521e+02 8.3198740316e+01
3.4152221559e+02 8.8989524772e+01
3.5506339570e+02 9.4430705821e+01
3.6876426930e+02 9.9544900341e+01
3.8261098112e+02 1.0436724239e+02
3.9659158380e+02 1.0893758510e+02
4.1069592262e+02 1.1329552077e+02
4.2491543351e+02 1.1747765710e+02
4.3924291552e+02 1.2151642255e+02
4.5367231099e+02 1.2543978910e+02
4.6819850908e+02 1.2927148516e+02
4.8281717753e+02 1.3303143178e+02
4.9752462230e+02 1.3673625009e+02
5.1231767238e+02 1.4039976013e+02
5.2719358585e+02 1.4403343413e+02
5.4214997390e+02 1.4764679117e+02
5.5718473925e+02 1.5124773202e+02
5.7229602638e+02 1.5484281906e+02
5.8748218117e+02 1.5843750799e+02
6.0274171816e+02 1.6203633876e+02
6.1807329378e+02 1.6564309236e+02
6.3347568456e+02 1.6926091960e+02
6.4894776918e+02 1.7289244687e+02
6.6448851366e+02 1.7653986304e+02
6.8009695920e+02 1.8020499112e+02
6.9577221196e+02 1.8388934740e+02
7.1151343460e+02 1.8759419040e+02
7.2731983918e+02 1.9132056153e+02
7.4319068117e+02 1.9506931886e+02
7.5912525439e+02 1.9884116540e+02
7.7512288675e+02 2.0263667270e+02
7.9118293656e+02 2.0645630066e+02
8.0730478943e+02 2.1030041425e+02
8.2348785556e+02 2.1416929756e+02
8.3973156746e+02 2.1806316574e+02
8.5603537790e+02 2.2198217507e+02
8.7239875821e+02 2.2592643154e+02
8.8882119673e+02 2.2989599819e+02
9.0530219748e+02 2.3389090135e+02
9.2184127899e+02 2.3791113594e+02
9.3843797328e+02 2.4195667012e+02
9.5509182492e+02 2.4602744915e+02
9.7180239024e+02 2.5012339880e+02
9.8856923656e+02 2.5424442828e+02
1.0053919416e+03 2.5839043271e+02
1.0222700928e+03 2.6256129532e+02
1.0392032869e+03 2.6675688935e+02
1.0561911293e+03 2.7097707960e+02
1.0732332340e+03 2.7523666431e+02
