target_k0,y,branch_label,branch_Tc,branch_nc,branch_Pc,ref_source,reference_group,ref_model,ref_label,ref_K0,ref_Tc,ref_nc,ref_Pc,target_k0_match,parameter_name,parameter_value,delta_k0_match,delta_Tc,delta_nc,delta_Pc,norm_distance_tc_nc,norm_distance_tc_nc_pc
250.0,0.1,Clausius K0=250 y=0.1,5.139331050475913,0.02987414557608,0.0479525899663286,combined_dieterici_scan_nearest,scan_nearest,dieterici,Dieterici scan near K0=250,249.89454341417527,13.01013050858363,0.0584291001467829,0.1914198133736203,250.0,alpha,1.6666666666666667,0.10545658582472583,-7.870799458107718,-0.028554954570702902,-0.1434672234072917,3.914614420788696,3.98310578667747
250.0,0.2,Clausius K0=250 y=0.2,10.505401021534114,0.0413134302290176,0.1324521616783205,combined_dieterici_scan_nearest,scan_nearest,dieterici,Dieterici scan near K0=250,249.89454341417527,13.01013050858363,0.0584291001467829,0.1914198133736203,250.0,alpha,1.6666666666666667,0.10545658582472583,-2.5047294870495165,-0.0171156699177653,-0.0589676516952998,1.7579868551854678,1.7837879955064302
250.0,0.3,Clausius K0=250 y=0.3,13.753714837714396,0.04664858568701,0.1936972533579578,combined_clausius_scan_nearest,scan_nearest,clausius,Clausius scan near K0=250,249.81685380942588,16.161290058337016,0.0499111655329664,0.241828511722525,250.0,c,4.74,0.18314619057412074,-2.40757522062262,-0.0032625798459564037,-0.04813125836456722,0.9765725673143786,1.007261464407815
250.0,0.4,Clausius K0=250 y=0.4,15.574217025393496,0.0491739813479714,0.2299928066284934,combined_clausius_scan_nearest,scan_nearest,clausius,Clausius scan near K0=250,249.81685380942588,16.161290058337016,0.0499111655329664,0.241828511722525,250.0,c,4.74,0.18314619057412074,-0.5870730329435201,-0.0007371841849950003,-0.011835705094031618,0.23675341131837455,0.24440466628585808
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,combined_clausius_scan_nearest,scan_nearest,clausius,Clausius scan near K0=250,249.81685380942588,16.161290058337016,0.0499111655329664,0.241828511722525,250.0,c,4.74,0.18314619057412074,0.002031705777074677,1.3802737284795974e-05,0.0001245930082915958,0.0014202529409386236,0.001557266914729714
280.0,0.1,Clausius K0=280 y=0.1,5.2106102155646905,0.0317497600917686,0.0521329867664361,combined_dieterici_scan_nearest,scan_nearest,dieterici,Dieterici scan near K0=250,249.89454341417527,13.01013050858363,0.0584291001467829,0.1914198133736203,250.0,alpha,1.6666666666666667,0.10545658582472583,-7.79952029301894,-0.0266793400550143,-0.1392868266071842,3.794434111094817,3.8610350666301803
280.0,0.2,Clausius K0=280 y=0.2,10.766877967362776,0.043646340136056,0.1452653323918861,combined_dieterici_scan_nearest,scan_nearest,dieterici,Dieterici scan near K0=250,249.89454341417527,13.01013050858363,0.0584291001467829,0.1914198133736203,250.0,alpha,1.6666666666666667,0.10545658582472583,-2.243252541220855,-0.014782760010726904,-0.04615448098173419,1.535792958423649,1.5539123192293045
280.0,0.3,Clausius K0=280 y=0.3,14.063530458374572,0.048943415460203,0.2110688843825943,combined_clausius_scan_nearest,scan_nearest,clausius,Clausius scan near K0=250,249.81685380942588,16.161290058337016,0.0499111655329664,0.241828511722525,250.0,c,4.74,0.18314619057412074,-2.097759599962444,-0.0009677500727634028,-0.030759627339930706,0.8196232671313107,0.8346542011775244
280.0,0.4,Clausius K0=280 y=0.4,15.892574468950636,0.0513715379220354,0.2494231237607328,combined_clausius_scan_nearest,scan_nearest,clausius,Clausius scan near K0=250,249.81685380942588,16.161290058337016,0.0499111655329664,0.241828511722525,250.0,c,4.74,0.18314619057412074,-0.26871558938637996,0.0014603723890690007,0.007594612038207799,0.1628153134704551,0.16740558959043356
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,combined_clausius_scan_nearest,scan_nearest,clausius,Clausius scan near K0=280,274.8502925293827,16.428950678568,0.0517254874576871,0.2585732614918814,280.0,c,4.213333333333334,5.1497074706172725,0.052765919029400976,0.0003559484610560007,0.003386276826682577,0.03670639785258982,0.040604356187849286
