target_k0,y,branch_label,branch_Tc,branch_nc,branch_Pc,ref_model,ref_label,ref_K0,ref_Tc,ref_nc,ref_Pc,delta_Tc,delta_nc,delta_Pc,norm_distance_tc_nc,norm_distance_tc_nc_pc
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,vdw,VDW,762.5389523893134,19.714051699516656,0.072416844954675,0.5268892365693063,-3.5507299354025648,-0.022491876684423803,-0.2849361318384897,2.3674857863819243,2.7818445069264293
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,cs,CS,601.4493907713359,18.610508147609703,0.0700684676121003,0.4730708773790477,-2.4471863834956125,-0.0201434993418491,-0.23111777264823108,1.9678843657448304,2.2970303214839713
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,tvm,TVM,564.2212831027393,18.270592977429768,0.0686731772110184,0.4501818263011174,-2.107271213315677,-0.018748208940767203,-0.2082287215703008,1.800488325824725,2.0931449792258685
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,rks,RKS,517.6872568264379,18.24001789209203,0.0642915436584505,0.3967767384930558,-2.0766961279779395,-0.014366575388199299,-0.15482363376223918,1.4701064257143803,1.6706776462608708
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-0.9781616743761674,-0.010798844347297103,-0.08986908564702067,0.998737857823524,1.0998771825600382
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,vdw,VDW,762.5389523893134,19.714051699516656,0.072416844954675,0.5268892365693063,-3.2323351019192543,-0.020335409035931902,-0.2649296982507423,2.145503016431259,2.53924124776746
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,cs,CS,601.4493907713359,18.610508147609703,0.0700684676121003,0.4730708773790477,-2.128791550012302,-0.0179870316933572,-0.21111133906048368,1.7467177347662706,2.054820727384361
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,tvm,TVM,564.2212831027393,18.270592977429768,0.0686731772110184,0.4501818263011174,-1.7888763798323666,-0.0165917412922753,-0.18822228798255342,1.5801682852921515,1.8514817166053534
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,rks,RKS,517.6872568264379,18.24001789209203,0.0642915436584505,0.3967767384930558,-1.758301294494629,-0.012210107739707397,-0.13481720017449178,1.2480157294279248,1.4266070130576693
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-0.659766840892857,-0.008642376698805201,-0.06986265205927328,0.7823355272690583,0.8604173741925206
315.0,0.5,Clausius K0=315 y=0.5,16.822045353851347,0.0543637113084092,0.2844835588150517,vdw,VDW,762.5389523893134,19.714051699516656,0.072416844954675,0.5268892365693063,-2.8920063456653082,-0.018053133646265797,-0.2424056777542546,1.9098314908718805,2.2785317329759387
315.0,0.5,Clausius K0=315 y=0.5,16.822045353851347,0.0543637113084092,0.2844835588150517,cs,CS,601.4493907713359,18.610508147609703,0.0700684676121003,0.4730708773790477,-1.788462793758356,-0.015704756303691093,-0.18858731856399596,1.5123465718476976,1.7949539501609504
315.0,0.5,Clausius K0=315 y=0.5,16.822045353851347,0.0543637113084092,0.2844835588150517,tvm,TVM,564.2212831027393,18.270592977429768,0.0686731772110184,0.4501818263011174,-1.4485476235784205,-0.014309465902609196,-0.1656982674860657,1.347086330578476,1.5925433707063859
315.0,0.5,Clausius K0=315 y=0.5,16.822045353851347,0.0543637113084092,0.2844835588150517,rks,RKS,517.6872568264379,18.24001789209203,0.0642915436584505,0.3967767384930558,-1.417972538240683,-0.009927832350041292,-0.11229317967800406,1.0122627500670967,1.1645022660067474
315.0,0.5,Clausius K0=315 y=0.5,16.822045353851347,0.0543637113084092,0.2844835588150517,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-0.3194380846389109,-0.006360101309139096,-0.04733863156278556,0.5579156769344986,0.6084101328735145
