target_k0,y,branch_label,branch_Tc,branch_nc,branch_Pc,ref_source,reference_group,ref_model,ref_label,ref_K0,ref_Tc,ref_nc,ref_Pc,target_k0_match,parameter_name,parameter_value,delta_k0_match,delta_Tc,delta_nc,delta_Pc,norm_distance_tc_nc,norm_distance_tc_nc_pc
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,combined_base_model,base_model,vdw,VDW,762.5389523893134,19.714051699516656,0.072416844954675,0.5268892365693063,,,,,-3.5507299354025648,-0.022491876684423803,-0.2849361318384897,2.3674857863819243,2.7818445069264293
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,combined_base_model,base_model,cs,CS,601.4493907713359,18.610508147609703,0.0700684676121003,0.4730708773790477,,,,,-2.4471863834956125,-0.0201434993418491,-0.23111777264823108,1.9678843657448304,2.2970303214839713
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,combined_base_model,base_model,tvm,TVM,564.2212831027393,18.270592977429768,0.0686731772110184,0.4501818263011174,,,,,-2.107271213315677,-0.018748208940767203,-0.2082287215703008,1.800488325824725,2.0931449792258685
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,combined_base_model,base_model,rks,RKS,517.6872568264379,18.24001789209203,0.0642915436584505,0.3967767384930558,,,,,-2.0766961279779395,-0.014366575388199299,-0.15482363376223918,1.4701064257143803,1.6706776462608708
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,combined_base_model,base_model,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,,,,,-0.9781616743761674,-0.010798844347297103,-0.08986908564702067,0.998737857823524,1.0998771825600382
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,combined_clausius_scan_nearest,scan_nearest,clausius,Clausius scan near K0=250,249.81685380942588,16.161290058337016,0.0499111655329664,0.241828511722525,250.0,c,4.74,0.18314619057412074,0.002031705777074677,1.3802737284795974e-05,0.0001245930082915958,0.0014202529409386236,0.001557266914729714
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,combined_clausius_scan_nearest,scan_nearest,clausius,Clausius scan near K0=280,274.8502925293827,16.428950678568,0.0517254874576871,0.2585732614918814,280.0,c,4.213333333333334,5.1497074706172725,-0.26562891445390946,-0.0018005191874359006,-0.01662015676106482,0.18539684958997316,0.20403779078679127
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,combined_clausius_scan_nearest,scan_nearest,clausius,Clausius scan near K0=315,303.98371955620007,16.71815634111571,0.0536697223342214,0.277481311440553,315.0,c,3.686666666666667,11.016280443799928,-0.5548345770016176,-0.0037447540639702,-0.03552820670973639,0.3861067148565202,0.426908582380408
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,combined_dieterici_scan_nearest,scan_nearest,dieterici,Dieterici scan near K0=250,249.89454341417527,13.01013050858363,0.0584291001467829,0.1914198133736203,250.0,alpha,1.6666666666666667,0.10545658582472583,3.1531912555304604,-0.008504131876531706,0.05053329135719631,1.425227769088729,1.448580067489215
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,combined_dieterici_scan_nearest,scan_nearest,dieterici,Dieterici scan near K0=280,292.0449393837288,13.79975329477246,0.0603562564119069,0.2214142468977211,280.0,alpha,1.7037037037037035,12.044939383728774,2.3635684693416312,-0.010431288141655705,0.020538857833095503,1.2806050021798938,1.2849262329078703
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,combined_dieterici_scan_nearest,scan_nearest,dieterici,Dieterici scan near K0=315,337.73558065819384,14.576704896976262,0.0621546979256134,0.2532677134251389,315.0,alpha,1.7407407407407407,22.73558065819384,1.5866168671378293,-0.012229729655362204,-0.01131460869432227,1.2141985285326158,1.2155831912600314
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,combined_base_model,base_model,vdw,VDW,762.5389523893134,19.714051699516656,0.072416844954675,0.5268892365693063,,,,,-3.2323351019192543,-0.020335409035931902,-0.2649296982507423,2.145503016431259,2.53924124776746
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,combined_base_model,base_model,cs,CS,601.4493907713359,18.610508147609703,0.0700684676121003,0.4730708773790477,,,,,-2.128791550012302,-0.0179870316933572,-0.21111133906048368,1.7467177347662706,2.054820727384361
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,combined_base_model,base_model,tvm,TVM,564.2212831027393,18.270592977429768,0.0686731772110184,0.4501818263011174,,,,,-1.7888763798323666,-0.0165917412922753,-0.18822228798255342,1.5801682852921515,1.8514817166053534
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,combined_base_model,base_model,rks,RKS,517.6872568264379,18.24001789209203,0.0642915436584505,0.3967767384930558,,,,,-1.758301294494629,-0.012210107739707397,-0.13481720017449178,1.2480157294279248,1.4266070130576693
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,combined_base_model,base_model,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,,,,,-0.659766840892857,-0.008642376698805201,-0.06986265205927328,0.7823355272690583,0.8604173741925206
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,combined_clausius_scan_nearest,scan_nearest,clausius,Clausius scan near K0=250,249.81685380942588,16.161290058337016,0.0499111655329664,0.241828511722525,250.0,c,4.74,0.18314619057412074,0.3204265392603851,0.0021702703857766972,0.020131026596038992,0.2235234230075041,0.2461972264339317
