target_k0,y,branch_label,branch_Tc,branch_nc,branch_Pc,ref_model,ref_label,ref_K0,ref_Tc,ref_nc,ref_Pc,delta_Tc,delta_nc,delta_Pc,norm_distance_tc_nc,norm_distance_tc_nc_pc
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,vdw,VDW,762.5389523893134,19.714051699516656,0.072416844954675,0.5268892365693063,-3.5507299354025648,-0.022491876684423803,-0.2849361318384897,2.3674857863819243,2.7818445069264293
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,cs,CS,601.4493907713359,18.610508147609703,0.0700684676121003,0.4730708773790477,-2.4471863834956125,-0.0201434993418491,-0.23111777264823108,1.9678843657448304,2.2970303214839713
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,tvm,TVM,564.2212831027393,18.270592977429768,0.0686731772110184,0.4501818263011174,-2.107271213315677,-0.018748208940767203,-0.2082287215703008,1.800488325824725,2.0931449792258685
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,rks,RKS,517.6872568264379,18.24001789209203,0.0642915436584505,0.3967767384930558,-2.0766961279779395,-0.014366575388199299,-0.15482363376223918,1.4701064257143803,1.6706776462608708
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-0.9781616743761674,-0.010798844347297103,-0.08986908564702067,0.998737857823524,1.0998771825600382
250.0,0.4,Clausius K0=250 y=0.4,15.574217025393496,0.0491739813479714,0.2299928066284934,vdw,VDW,762.5389523893134,19.714051699516656,0.072416844954675,0.5268892365693063,-4.1398346741231595,-0.0232428636067036,-0.2968964299408129,2.5574909902796197,2.9761237546951227
250.0,0.4,Clausius K0=250 y=0.4,15.574217025393496,0.0491739813479714,0.2299928066284934,cs,CS,601.4493907713359,18.610508147609703,0.0700684676121003,0.4730708773790477,-3.0362911222162072,-0.020894486264128896,-0.2430780707505543,2.1415136860352373,2.477682439628727
250.0,0.4,Clausius K0=250 y=0.4,15.574217025393496,0.0491739813479714,0.2299928066284934,tvm,TVM,564.2212831027393,18.270592977429768,0.0686731772110184,0.4501818263011174,-2.696375952036272,-0.019499195863047,-0.22018901967262403,1.9696264069177747,2.2701512755060973
250.0,0.4,Clausius K0=250 y=0.4,15.574217025393496,0.0491739813479714,0.2299928066284934,rks,RKS,517.6872568264379,18.24001789209203,0.0642915436584505,0.3967767384930558,-2.665800866698534,-0.015117562310479095,-0.1667839318645624,1.6568966522395157,1.8644960731607012
250.0,0.4,Clausius K0=250 y=0.4,15.574217025393496,0.0491739813479714,0.2299928066284934,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-1.5672664130967622,-0.011549831269576899,-0.10182938374934389,1.1605208352383614,1.2725235092073715
250.0,0.3,Clausius K0=250 y=0.3,13.753714837714396,0.04664858568701,0.1936972533579578,vdw,VDW,762.5389523893134,19.714051699516656,0.072416844954675,0.5268892365693063,-5.96033686180226,-0.025768259267665003,-0.3331919832113485,3.197554934041156,3.6251796463239963
