target_k0,y,branch_label,branch_Tc,branch_nc,branch_Pc,ref_model,ref_label,ref_K0,ref_Tc,ref_nc,ref_Pc,delta_Tc,delta_nc,delta_Pc,norm_distance_tc_nc,norm_distance_tc_nc_pc
250.0,0.1,Clausius K0=250 y=0.1,5.139331050475913,0.02987414557608,0.0479525899663286,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-12.002152388014345,-0.0308496670414683,-0.28386960041150866,5.359747393216327,5.553793211841255
250.0,0.2,Clausius K0=250 y=0.2,10.505401021534114,0.0413134302290176,0.1324521616783205,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-6.636082416956144,-0.019410382388530698,-0.19937002869951678,3.0675220673530403,3.2333104116120204
250.0,0.3,Clausius K0=250 y=0.3,13.753714837714396,0.04664858568701,0.1936972533579578,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-3.3877686007758623,-0.014075226930538302,-0.1381249370198795,1.78413517930714,1.9195127374709078
250.0,0.4,Clausius K0=250 y=0.4,15.574217025393496,0.0491739813479714,0.2299928066284934,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-1.5672664130967622,-0.011549831269576899,-0.10182938374934389,1.1605208352383614,1.2725235092073715
250.0,0.5,Clausius K0=250 y=0.5,16.16332176411409,0.0499249682702512,0.2419531047308166,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-0.9781616743761674,-0.010798844347297103,-0.08986908564702067,0.998737857823524,1.0998771825600382
280.0,0.1,Clausius K0=280 y=0.1,5.2106102155646905,0.0317497600917686,0.0521329867664361,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-11.930873222925568,-0.028974052525779698,-0.27968920361140115,5.258180934860452,5.450163268651239
280.0,0.2,Clausius K0=280 y=0.2,10.766877967362776,0.043646340136056,0.1452653323918861,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-6.374605471127483,-0.0170774724814923,-0.18655685798595117,2.876294961007192,3.031125539412308
280.0,0.3,Clausius K0=280 y=0.3,14.063530458374572,0.048943415460203,0.2110688843825943,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-3.077952980115686,-0.011780397157345301,-0.12075330599524298,1.5641275233918996,1.6821709470308355
280.0,0.4,Clausius K0=280 y=0.4,15.892574468950636,0.0513715379220354,0.2494231237607328,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-1.248908969539622,-0.009352274695512898,-0.08239906661710447,0.9356219364863912,1.02655835780789
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-0.659766840892857,-0.008642376698805201,-0.06986265205927328,0.7823355272690583,0.8604173741925206
315.0,0.1,Clausius K0=315 y=0.1,5.30570596716618,0.0338592477123315,0.057191469437077,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-11.835777471324079,-0.026864564905216798,-0.2746307209407603,5.142514858518195,5.331752173297987
315.0,0.2,Clausius K0=315 y=0.2,11.057572132430584,0.0461786254147015,0.1601225916325296,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-6.083911306059674,-0.014545187202846796,-0.17169959874530769,2.672109463405469,2.813349485158534
315.0,0.3,Clausius K0=315 y=0.3,14.399044576498907,0.0513925881150354,0.2308469196163504,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-2.742438861991351,-0.009331224502512898,-0.10097527076148688,1.3316352422781401,1.4287083845296746
315.0,0.4,Clausius K0=315 y=0.4,16.233830136175893,0.0537009881911045,0.2713550481230649,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-0.9076533023143654,-0.007022824426443801,-0.0604671422547724,0.6965638089359811,0.7624234809805259
315.0,0.5,Clausius K0=315 y=0.5,16.822045353851347,0.0543637113084092,0.2844835588150517,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,-0.3194380846389109,-0.006360101309139096,-0.04733863156278556,0.5579156769344986,0.6084101328735145
