target_k0,y,Tc,nc,Pc,dPdn,d2Pdn2,score,iterations,mu_p_star,mu_n_star,c,a_avg,b_avg,a_n,a_pn,b_n,b_pn
250.0,0.5,16.16332176411409,0.049924968270251203,0.24195310473081666,-1.1146039646803274e-06,3.2912561565012766e-05,2.3921221237724662e-14,12,940.2602023706071,940.2602023706071,4.735852815975205,472.32750754938456,1.727371070253316,259.41373299579254,685.2412821029766,1.3169230324118786,2.1378191080947535
250.0,0.4,15.574217025393496,0.04917398134797148,0.22999280662849342,-2.672825849536764e-07,-9.128531264224193e-05,9.92838519523457e-14,11,936.6641948714379,944.6731892530067,4.735852815975205,472.32750754938456,1.727371070253316,259.41373299579254,685.2412821029766,1.3169230324118786,2.1378191080947535
250.0,0.3,13.753714837714396,0.04664858568701,0.19369725335795784,8.938511042444475e-07,3.399502901402229e-05,2.429604878400965e-14,12,934.2774297976847,949.3948173970715,4.735852815975205,472.32750754938456,1.727371070253316,259.41373299579254,685.2412821029766,1.3169230324118786,2.1378191080947535
250.0,0.2,10.505401021534114,0.04131343022901767,0.13245216167832052,-1.9221249591971912e-07,-4.5123627057108706e-05,3.999587751519187e-14,12,933.6071190544575,953.5210401162711,4.735852815975205,472.32750754938456,1.727371070253316,259.41373299579254,685.2412821029766,1.3169230324118786,2.1378191080947535
250.0,0.1,5.139331050475913,0.029874145576080077,0.047952589966328674,-1.3244585983507307e-07,-6.29107876903845e-05,5.689756024897476e-14,14,936.127201224566,954.7490558677762,4.735852815975205,472.32750754938456,1.727371070253316,259.41373299579254,685.2412821029766,1.3169230324118786,2.1378191080947535
260.0,0.5,16.272524903638782,0.05066669396707877,0.2487001587388793,3.5637037765212654e-06,-8.676392937445598e-06,1.2051395042460764e-13,11,940.4831671990571,940.4831671990571,4.516312341231182,466.0260193915302,1.8008375723516208,256.197399369316,675.8546394137445,1.3512715162266888,2.250403628476553
260.0,0.4,15.683303381028523,0.04992942148640113,0.236539982626209,-8.589196021091539e-07,7.969180870759374e-05,8.000621136875295e-14,11,936.859921641351,944.9213471111644,4.516312341231182,466.0260193915302,1.8008375723516208,256.197399369316,675.8546394137445,1.3512715162266888,2.250403628476553
260.0,0.3,13.859511057496679,0.047435640525044696,0.19953408571487807,2.4523930108877323e-06,4.56773507906405e-05,8.01531968996955e-14,11,934.4384489904863,949.6715932856323,4.516312341231182,466.0260193915302,1.8008375723516208,256.197399369316,675.8546394137445,1.3512715162266888,2.250403628476553
260.0,0.2,10.593920390592196,0.04210914866119462,0.1367320762656109,-3.2744348898994247e-06,7.172040739078511e-06,5.661272017683577e-14,10,933.7271187344198,953.8274507892106,4.516312341231182,466.0260193915302,1.8008375723516208,256.197399369316,675.8546394137445,1.3512715162266888,2.250403628476553
260.0,0.1,5.16193715263756,0.0305067821162263,0.04933101306243626,7.375107469176356e-08,5.045755480104219e-05,3.7275127026578245e-14,12,936.2372986951524,955.0409130250248,4.516312341231182,466.0260193915302,1.8008375723516208,256.197399369316,675.8546394137445,1.3512715162266888,2.250403628476553
270.0,0.5,16.378587557623877,0.05138504023911006,0.25536763116840644,2.9732150075290065e-06,-4.888867088936877e-05,1.0542512213918416e-13,11,940.6998199956223,940.6998199956223,4.3094530904642205,460.0644729177234,1.8704177601460852,253.17780221730465,666.9511436181422,1.384756503787714,2.3560790165044563
270.0,0.4,15.789360737495121,0.050661466241303424,0.24301574218047228,-1.362108481561819e-06,5.287714710533464e-05,4.925059992022348e-14,11,937.0501169560827,945.1624023875338,4.3094530904642205,460.0644729177234,1.8704177601460852,253.17780221730465,666.9511436181422,1.384756503787714,2.3560790165044563
270.0,0.3,13.962737579139903,0.04820016745974915,0.20532414740855442,6.090148108039983e-06,-4.94021490382579e-05,3.3526830108892024e-13,10,934.5948268560443,949.9405682161436,4.3094530904642205,460.0644729177234,1.8704177601460852,253.17780221730465,666.9511436181422,1.384756503787714,2.3560790165044563
270.0,0.2,10.681061587245514,0.042886494516488155,0.1410030224537766,-1.2778722524586783e-06,-6.457612222732223e-05,9.425012032590084e-14,11,933.843082709318,954.1260135342526,4.3094530904642205,460.0644729177234,1.8704177601460852,253.17780221730465,666.9511436181422,1.384756503787714,2.3560790165044563
270.0,0.1,5.1857168132803695,0.031131884101348362,0.05072427690285225,8.446104926562725e-08,4.260480856999038e-05,2.7119032772840673e-14,12,936.3418795578262,955.3273326390735,4.3094530904642205,460.0644729177234,1.8704177601460852,253.17780221730465,666.9511436181422,1.384756503787714,2.3560790165044563
280.0,0.5,16.4817165975974,0.0520814359187431,0.261959538318564,2.3054005926503862e-06,-8.290867992144513e-05,1.1578285552866834e-13,11,940.91055777039,940.91055777039,4.11410812010825,454.41269746338673,1.9364497235562024,250.33652601237475,658.4888689143987,1.417423248321993,2.455476198790412
280.0,0.4,15.892574468950635,0.051371537922035464,0.24942312376073283,-6.477294256512778e-06,9.031109193813336e-05,4.945099397029584e-13,10,937.2351520183165,945.3968370342665,4.11410812010825,454.41269746338673,1.9364497235562024,250.33652601237475,658.4888689143987,1.417423248321993,2.455476198790412
280.0,0.3,14.063530458374572,0.048943415460203074,0.2110688843825943,1.1105474873041032e-06,-6.563916077340082e-05,6.945341331631184e-14,11,934.7468901046402,950.2022651752985,4.11410812010825,454.41269746338673,1.9364497235562024,250.33652601237475,658.4888689143987,1.417423248321993,2.455476198790412
280.0,0.2,10.766877967362776,0.04364634013605603,0.1452653323918861,-5.024400340225554e-07,-4.173050793809807e-05,3.8096006808846964e-14,12,933.9553163504867,954.4172261090946,4.11410812010825,454.41269746338673,1.9364497235562024,250.33652601237475,658.4888689143987,1.417423248321993,2.455476198790412
280.0,0.1,5.2106102155646905,0.03174976009176865,0.052132986766436185,2.438087232103925e-07,8.337636137056847e-05,1.0615621721752859e-13,11,936.4413235553469,955.6086461427575,4.11410812010825,454.41269746338673,1.9364497235562024,250.33652601237475,658.4888689143987,1.417423248321993,2.455476198790412
290.0,0.5,16.58209293829266,0.05275718658228931,0.2684792666644116,4.697545130660785e-07,-3.411992910429262e-05,1.318970099062435e-14,12,941.1157525581395,941.1157525581395,3.929255253400764,449.0441779965488,1.9992312831987935,247.65745403286007,650.4309019602375,1.4493131042492868,2.5491494621483
